,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時
2024-06-01,土,0.0,980.0,17230,7520,16480,8610.0,750.0,7460.0,6500.0,32580,20170,22700,21060.0,3300.0,0.0,0.0
2024-06-02,日,0.0,0.0,30550,28450,15280,0.0,4260.0,3510.0,25340.0,13020,30630,12790,18010.0,0.0,0.0,0.0
2024-06-05,水,0.0,2850.0,12700,17060,3540,0.0,0.0,5340.0,13300.0,20640,14790,14840,14340.0,19130.0,0.0,0.0
2024-06-06,木,0.0,0.0,16620,29930,3610,8200.0,0.0,1500.0,10390.0,24630,11150,39750,15720.0,5900.0,0.0,0.0
2024-06-07,金,0.0,1140.0,14370,17900,3230,5140.0,3510.0,1170.0,16490.0,28730,6310,26980,80470.0,10560.0,0.0,0.0
2024-06-08,土,0.0,0.0,26300,17570,12160,5230.0,0.0,9670.0,21260.0,18580,53430,13620,7770.0,11500.0,0.0,0.0
2024-06-09,日,0.0,1140.0,35180,25070,5670,2730.0,0.0,5260.0,27010.0,17290,19360,43620,0.0,0.0,0.0,0.0
2024-06-12,水,0.0,2010.0,16930,13420,5920,3540.0,2240.0,0.0,0.0,14690,30870,15640,16710.0,6200.0,0.0,0.0
2024-06-13,木,0.0,0.0,18650,1010,9820,0.0,8810.0,0.0,8420.0,15560,18660,9150,12510.0,10370.0,0.0,0.0
2024-06-14,金,0.0,1780.0,15400,4520,4210,0.0,0.0,5890.0,4080.0,7230,19240,23770,21020.0,8540.0,0.0,0.0
2024-06-15,土,0.0,0.0,22780,12280,13930,3100.0,1920.0,3530.0,14060.0,25280,9960,17860,12460.0,10190.0,0.0,0.0
2024-06-16,日,0.0,0.0,14490,40480,25990,0.0,1920.0,1570.0,17730.0,29710,15580,39650,0.0,0.0,0.0,0.0
2024-06-19,水,0.0,1150.0,35020,19760,7400,1480.0,2010.0,2390.0,5850.0,20720,17300,11820,17280.0,17810.0,0.0,0.0
2024-06-20,木,1100.0,1090.0,19080,20750,19580,0.0,1170.0,1780.0,5130.0,19560,14590,41000,39840.0,11810.0,0.0,0.0
2024-06-21,金,0.0,4680.0,12290,2950,8940,0.0,1170.0,0.0,6680.0,16020,35820,19490,16730.0,39150.0,0.0,0.0
2024-06-22,土,0.0,0.0,25320,12660,46440,42380.0,7250.0,9510.0,9720.0,2590,13350,38810,34490.0,15350.0,0.0,0.0
2024-06-23,日,0.0,0.0,24090,28870,3360,990.0,8320.0,13440.0,13680.0,14590,12440,13360,0.0,0.0,0.0,0.0
2024-06-26,水,0.0,0.0,12290,8770,12840,0.0,4450.0,10850.0,0.0,12350,12830,14700,32460.0,38020.0,0.0,0.0
2024-06-27,木,0.0,0.0,20220,31390,1870,2970.0,0.0,0.0,14260.0,13840,19950,6180,17660.0,18990.0,0.0,0.0
2024-06-28,金,0.0,0.0,14300,2990,1130,5640.0,0.0,2410.0,2020.0,19270,24990,30610,28080.0,26160.0,0.0,10800.0
2024-06-29,土,0.0,0.0,29820,37580,17700,8250.0,20150.0,14400.0,5430.0,39870,16220,68970,13930.0,3850.0,0.0,0.0
2024-06-30,日,0.0,0.0,14980,48040,19360,0.0,2670.0,1640.0,15920.0,15550,17380,7770,0.0,0.0,0.0,0.0
