,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時
2023-12-01,金,0.0,700.0,4090,15850,3960.0,0.0,0.0,3950.0,6260.0,24460.0,10270.0,12530,9390.0,21290.0,0.0,0.0
2023-12-02,土,0.0,0.0,22170,27820,8300.0,3290.0,0.0,0.0,27500.0,0.0,0.0,125560,9660.0,22250.0,0.0,0.0
2023-12-03,日,0.0,1890.0,17480,26700,6250.0,0.0,0.0,0.0,22560.0,16740.0,31850.0,1320,0.0,0.0,0.0,0.0
2023-12-06,水,1950.0,2460.0,18870,15870,6270.0,0.0,0.0,0.0,15130.0,26200.0,6120.0,31700,36460.0,24790.0,0.0,0.0
2023-12-07,木,0.0,0.0,8790,9540,6610.0,0.0,0.0,0.0,0.0,4160.0,19300.0,17720,9300.0,35650.0,0.0,0.0
2023-12-08,金,0.0,0.0,6290,21340,6950.0,11200.0,0.0,0.0,8170.0,23450.0,40510.0,16760,29150.0,60030.0,0.0,10350.0
2023-12-09,土,0.0,0.0,18160,16040,11350.0,0.0,0.0,0.0,9530.0,20090.0,37480.0,16320,7680.0,7730.0,0.0,0.0
2023-12-10,日,0.0,890.0,24360,16490,14430.0,1800.0,0.0,12440.0,32810.0,14140.0,47540.0,12870,4080.0,0.0,0.0,0.0
2023-12-13,水,0.0,0.0,4460,4690,25990.0,0.0,0.0,0.0,5820.0,22780.0,22220.0,35550,22310.0,13260.0,0.0,0.0
2023-12-14,木,0.0,0.0,17330,5330,16680.0,0.0,0.0,1200.0,2340.0,20110.0,34350.0,9910,20700.0,5140.0,0.0,0.0
2023-12-15,金,0.0,1360.0,3800,4110,11200.0,0.0,0.0,1450.0,6430.0,12560.0,22690.0,12950,54340.0,22660.0,0.0,0.0
2023-12-16,土,0.0,0.0,10960,19110,15700.0,0.0,0.0,7520.0,34620.0,1920.0,26330.0,24140,49060.0,0.0,0.0,0.0
2023-12-17,日,0.0,0.0,26710,27230,11020.0,0.0,0.0,0.0,21210.0,23450.0,20610.0,24960,0.0,0.0,0.0,0.0
2023-12-20,水,0.0,0.0,7310,16110,2570.0,1650.0,0.0,8180.0,3790.0,10730.0,4700.0,13950,44190.0,11500.0,0.0,0.0
2023-12-21,木,0.0,0.0,9190,8370,2310.0,0.0,0.0,0.0,1600.0,2450.0,4820.0,12290,12300.0,21600.0,0.0,0.0
2023-12-22,金,0.0,1230.0,12510,19920,6960.0,0.0,0.0,1100.0,14020.0,15200.0,7980.0,21050,26100.0,27390.0,0.0,0.0
2023-12-23,土,0.0,2700.0,25160,20810,0.0,7360.0,0.0,0.0,3790.0,11080.0,22540.0,12850,7700.0,12170.0,0.0,0.0
2023-12-24,日,0.0,0.0,16670,19770,14740.0,0.0,0.0,570.0,10970.0,15230.0,42750.0,2240,0.0,0.0,0.0,0.0
2023-12-27,水,0.0,0.0,10930,14430,7580.0,3300.0,0.0,0.0,14590.0,4560.0,15620.0,129880,5730.0,9430.0,0.0,0.0
2023-12-28,木,0.0,0.0,15600,17020,8550.0,0.0,0.0,0.0,22560.0,9170.0,0.0,31370,6150.0,0.0,0.0,0.0
2023-12-29,金,0.0,0.0,12120,24780,11640.0,500.0,14400.0,0.0,27980.0,11800.0,14100.0,27980,31420.0,31550.0,0.0,0.0
2023-12-30,土,0.0,3970.0,18590,39910,11890.0,11840.0,0.0,990.0,9880.0,3000.0,115920.0,20640,54820.0,5170.0,0.0,0.0
