,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時
2025-06-01,日,0.0,0.0,28990,25450,17210.0,1960.0,10740.0,17950.0,13490.0,53710,12230,15240,0.0,0.0,0.0,0.0
2025-06-04,水,0.0,0.0,13420,14860,16000.0,2420.0,1060.0,2210.0,7740.0,20840,45710,17190,11020.0,10490.0,0.0,0.0
2025-06-05,木,0.0,0.0,19860,10500,7390.0,1060.0,2450.0,2760.0,8380.0,5130,12570,13610,20380.0,19900.0,0.0,0.0
2025-06-06,金,0.0,0.0,12670,5870,6610.0,2810.0,2430.0,0.0,8520.0,9320,26730,38610,18110.0,16010.0,0.0,0.0
2025-06-07,土,0.0,3340.0,16660,19820,11860.0,10710.0,3220.0,1210.0,4510.0,17750,21420,34040,23470.0,8830.0,0.0,0.0
2025-06-08,日,0.0,0.0,17810,39220,13520.0,3820.0,0.0,8130.0,4180.0,18940,14010,12430,0.0,0.0,0.0,0.0
2025-06-11,水,0.0,5760.0,8230,10880,5530.0,830.0,1890.0,7200.0,4810.0,15380,11970,11470,21200.0,9790.0,0.0,0.0
2025-06-12,木,0.0,2420.0,13530,29110,8970.0,3780.0,3190.0,5990.0,0.0,9270,25270,32220,29600.0,14180.0,0.0,0.0
2025-06-13,金,0.0,0.0,17650,12920,3870.0,0.0,3020.0,0.0,6030.0,30280,20670,42720,16030.0,18110.0,0.0,0.0
2025-06-14,土,0.0,0.0,16020,32330,21700.0,17620.0,11990.0,22320.0,2900.0,11370,10920,7720,56660.0,9590.0,0.0,0.0
2025-06-15,日,0.0,0.0,22820,35850,16500.0,10360.0,1210.0,2980.0,15300.0,4060,20110,10170,5880.0,0.0,0.0,0.0
2025-06-18,水,0.0,0.0,8820,16560,6350.0,11130.0,1060.0,6740.0,0.0,15790,29100,6820,34930.0,0.0,0.0,0.0
2025-06-19,木,0.0,0.0,22320,9230,4300.0,2410.0,0.0,2420.0,9640.0,11830,5140,39870,3770.0,0.0,0.0,0.0
2025-06-20,金,0.0,1380.0,12820,11240,2290.0,8380.0,770.0,1210.0,6320.0,5620,8990,27100,10350.0,29210.0,0.0,0.0
2025-06-21,土,0.0,2790.0,15290,25490,11130.0,0.0,3040.0,1610.0,21390.0,27660,40760,33850,3730.0,22930.0,0.0,0.0
2025-06-22,日,0.0,1430.0,21340,16570,14050.0,0.0,3980.0,0.0,13640.0,19370,4480,29050,0.0,0.0,0.0,0.0
2025-06-25,水,0.0,1910.0,16800,25580,0.0,1210.0,0.0,2870.0,7080.0,16240,17990,23920,38940.0,6750.0,0.0,0.0
2025-06-26,木,0.0,1210.0,21890,8760,13320.0,11750.0,7790.0,0.0,2590.0,7440,17810,40540,1380.0,18880.0,0.0,0.0
2025-06-27,金,0.0,4870.0,5230,4710,4050.0,1060.0,0.0,0.0,7760.0,19810,15720,87120,21920.0,21520.0,0.0,400.0
2025-06-28,土,0.0,2120.0,5800,20230,6980.0,0.0,3630.0,3180.0,5500.0,22390,32480,36770,11510.0,4330.0,0.0,0.0
2025-06-29,日,0.0,0.0,22390,44140,15720.0,1740.0,19500.0,18810.0,29220.0,29950,15120,25650,2980.0,0.0,0.0,0.0
