,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時,01時
2024-12-01,日,0.0,0.0,33500,17100,19620.0,4810.0,6310.0,0.0,9740.0,8420,27060,33210,0.0,0.0,0.0,0.0,0.0
2024-12-04,水,0.0,0.0,21880,38670,13150.0,0.0,1170.0,0.0,6390.0,9240,29090,13880,6660.0,31660.0,0.0,0.0,0.0
2024-12-05,木,0.0,1390.0,15290,16980,14710.0,4090.0,8430.0,4220.0,3550.0,6830,6190,14500,16260.0,6950.0,0.0,0.0,0.0
2024-12-06,金,0.0,0.0,19330,22750,0.0,3920.0,0.0,0.0,7230.0,16420,48780,23100,18790.0,26630.0,0.0,0.0,0.0
2024-12-07,土,0.0,0.0,30120,11950,27540.0,17470.0,250.0,6210.0,8630.0,27110,29690,23200,28120.0,33450.0,0.0,0.0,0.0
2024-12-08,日,0.0,0.0,22590,33960,12220.0,9460.0,1170.0,9630.0,19510.0,25540,7540,11770,0.0,0.0,0.0,0.0,0.0
2024-12-11,水,0.0,990.0,20510,5830,10530.0,290.0,1170.0,0.0,7920.0,15150,7370,3380,43220.0,12830.0,0.0,0.0,0.0
2024-12-12,木,0.0,1620.0,13380,13440,11320.0,0.0,0.0,0.0,8860.0,18590,53550,20210,16270.0,18210.0,0.0,5470.0,0.0
2024-12-13,金,0.0,1520.0,12360,14800,20710.0,0.0,2730.0,3160.0,12550.0,14210,29980,28630,79800.0,11720.0,0.0,0.0,0.0
2024-12-14,土,0.0,2370.0,31190,9970,9380.0,9600.0,0.0,2760.0,9210.0,15850,12830,24840,8080.0,24240.0,0.0,0.0,0.0
2024-12-15,日,0.0,0.0,36690,26170,22960.0,16350.0,3320.0,2260.0,15170.0,52120,3810,32830,0.0,0.0,0.0,0.0,0.0
2024-12-18,水,0.0,2130.0,18470,18370,1140.0,1180.0,0.0,2150.0,11300.0,17340,17870,5840,22540.0,16030.0,0.0,0.0,0.0
2024-12-19,木,0.0,890.0,12250,11730,9300.0,0.0,3930.0,0.0,15770.0,4390,29730,8840,62440.0,10810.0,0.0,0.0,0.0
2024-12-20,金,0.0,1800.0,11280,5610,8720.0,0.0,0.0,2530.0,7750.0,15660,34400,28440,32450.0,5330.0,0.0,6280.0,0.0
2024-12-21,土,0.0,0.0,10820,32980,6510.0,4110.0,0.0,1100.0,18650.0,31600,33170,45940,33430.0,0.0,0.0,0.0,0.0
2024-12-22,日,0.0,0.0,18430,45830,8170.0,7010.0,0.0,0.0,15750.0,10000,8100,18460,18090.0,0.0,0.0,0.0,0.0
2024-12-25,水,0.0,3120.0,15820,23000,10830.0,4570.0,0.0,18890.0,15330.0,4160,25340,9730,14480.0,18960.0,0.0,0.0,0.0
2024-12-26,木,0.0,2280.0,10540,47430,12270.0,1050.0,11700.0,2690.0,6780.0,29090,17790,12720,53900.0,14220.0,0.0,2480.0,0.0
2024-12-27,金,0.0,2650.0,34490,11850,2280.0,7870.0,5550.0,1370.0,11000.0,17600,29170,41250,43740.0,37520.0,0.0,0.0,0.0
2024-12-28,土,0.0,0.0,21490,23440,20180.0,1170.0,12670.0,5090.0,0.0,51390,28190,17730,37680.0,29590.0,0.0,9080.0,540.0
2024-12-29,日,0.0,1800.0,32460,19540,7720.0,41430.0,3930.0,9080.0,0.0,72000,9400,27330,26010.0,0.0,0.0,0.0,0.0
