,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時
2025-07-02,水,0.0,3030.0,7520,11270,10680.0,4020.0,6770.0,3850.0,5860.0,1210,20190,12410,2660.0,12020.0,0.0,0.0
2025-07-03,木,0.0,0.0,12390,45290,0.0,4710.0,4480.0,1510.0,2990.0,5060,20110,7100,23940.0,12850.0,0.0,570.0
2025-07-04,金,0.0,0.0,8100,12640,0.0,4040.0,1200.0,0.0,6500.0,2460,43170,5710,11760.0,14500.0,0.0,0.0
2025-07-05,土,0.0,1410.0,15260,20280,12650.0,0.0,0.0,0.0,5650.0,21670,10140,5600,17430.0,33100.0,0.0,0.0
2025-07-06,日,0.0,3870.0,35270,20030,4560.0,1410.0,2920.0,3780.0,14830.0,23230,14920,15700,0.0,0.0,0.0,0.0
2025-07-09,水,0.0,0.0,15200,16060,9160.0,3370.0,8790.0,3950.0,6140.0,19800,24400,28400,13680.0,5520.0,0.0,0.0
2025-07-10,木,0.0,0.0,10950,4290,6430.0,4180.0,2000.0,6140.0,2590.0,5170,14620,5040,16450.0,1900.0,0.0,8530.0
2025-07-11,金,0.0,0.0,11890,5120,12860.0,0.0,0.0,0.0,2420.0,8980,11640,13210,20900.0,19710.0,0.0,0.0
2025-07-12,土,0.0,0.0,14490,32370,16200.0,1690.0,8290.0,31630.0,8170.0,24560,46190,48080,46610.0,6660.0,0.0,0.0
2025-07-13,日,0.0,0.0,19200,29090,33940.0,3620.0,0.0,0.0,12930.0,9050,13720,12130,0.0,0.0,0.0,0.0
2025-07-16,水,0.0,0.0,16630,13530,6030.0,4150.0,0.0,1210.0,7900.0,9710,44620,10360,12160.0,29740.0,0.0,0.0
2025-07-17,木,0.0,2170.0,5650,20530,1870.0,3020.0,1060.0,3580.0,8110.0,5050,21690,7680,11150.0,6500.0,0.0,0.0
2025-07-18,金,0.0,2980.0,18270,26650,7710.0,0.0,0.0,1230.0,3720.0,16360,40830,14550,24810.0,40440.0,0.0,0.0
2025-07-19,土,0.0,0.0,15700,25810,31090.0,3630.0,2950.0,12060.0,8110.0,17930,51010,59270,18170.0,32030.0,0.0,0.0
2025-07-20,日,0.0,0.0,11480,14110,16830.0,15500.0,0.0,1710.0,26070.0,33530,34100,17760,36000.0,13320.0,0.0,0.0
2025-07-23,水,0.0,0.0,4800,2800,9540.0,2540.0,0.0,1620.0,3010.0,6360,27160,20490,5120.0,24550.0,0.0,0.0
2025-07-24,木,0.0,1660.0,13890,20780,3980.0,0.0,0.0,0.0,6260.0,13630,41680,12040,4060.0,9740.0,0.0,0.0
2025-07-25,金,0.0,0.0,17150,5220,4860.0,5520.0,0.0,8970.0,1400.0,25100,27110,19010,11500.0,15740.0,0.0,6240.0
2025-07-26,土,0.0,1910.0,18210,22390,14290.0,2120.0,520.0,2110.0,3480.0,11530,7160,17040,31060.0,12320.0,0.0,0.0
2025-07-27,日,0.0,0.0,16930,27280,13170.0,2790.0,6050.0,6400.0,10320.0,9510,8760,17430,19620.0,0.0,0.0,0.0
2025-07-30,水,0.0,0.0,14600,16550,0.0,1300.0,1810.0,1690.0,0.0,23100,17890,16790,23540.0,7320.0,0.0,0.0
2025-07-31,木,0.0,0.0,12650,15050,1870.0,3310.0,3700.0,0.0,2380.0,11040,43700,10990,32590.0,6340.0,0.0,0.0
