,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時
2025-04-02,水,0.0,1340.0,9430,21730,12110.0,4030.0,2120.0,13730.0,10090.0,17180,24760,9800,20760.0,6520.0,0.0,0.0
2025-04-03,木,0.0,0.0,18120,2510,0.0,4490.0,1060.0,0.0,3730.0,17810,17410,19660,21700.0,41240.0,0.0,2130.0
2025-04-04,金,0.0,1680.0,17400,15710,9260.0,1210.0,0.0,2410.0,11120.0,21860,12780,30670,17580.0,15100.0,0.0,0.0
2025-04-05,土,0.0,0.0,17210,13940,19350.0,14300.0,0.0,7220.0,8220.0,24900,20080,20970,32640.0,22920.0,0.0,0.0
2025-04-06,日,0.0,0.0,6310,5730,11030.0,2820.0,2620.0,0.0,9310.0,38050,15270,9870,2820.0,0.0,0.0,0.0
2025-04-09,水,0.0,3650.0,24130,15080,7760.0,0.0,0.0,0.0,5310.0,20670,20730,21700,15420.0,7520.0,0.0,0.0
2025-04-10,木,0.0,2420.0,17020,9440,2420.0,8330.0,6380.0,0.0,12250.0,18550,6050,16320,10850.0,5070.0,0.0,0.0
2025-04-11,金,0.0,0.0,20330,4700,12410.0,7670.0,0.0,0.0,5090.0,5090,41350,26020,10310.0,19290.0,0.0,0.0
2025-04-12,土,0.0,0.0,12920,9340,30580.0,14520.0,5120.0,5470.0,12600.0,46270,51190,31910,15800.0,0.0,0.0,0.0
2025-04-13,日,0.0,2420.0,10180,24660,23610.0,9090.0,0.0,1060.0,16040.0,13100,14680,9300,0.0,0.0,0.0,0.0
2025-04-16,水,0.0,0.0,7870,13410,2490.0,15130.0,3090.0,0.0,3590.0,38410,19770,29240,28720.0,15480.0,0.0,5800.0
2025-04-17,木,0.0,1340.0,4180,3470,8550.0,4900.0,1400.0,0.0,14360.0,9510,5190,60960,26800.0,4410.0,0.0,0.0
2025-04-18,金,0.0,0.0,19830,11910,5110.0,2170.0,0.0,0.0,7330.0,17770,15220,33360,34080.0,26450.0,0.0,0.0
2025-04-19,土,0.0,0.0,19910,21320,16490.0,13100.0,0.0,5770.0,20800.0,8870,52180,9430,18600.0,0.0,0.0,0.0
2025-04-20,日,0.0,1550.0,22400,10670,27330.0,8210.0,1210.0,4250.0,2970.0,22030,4030,27530,0.0,0.0,0.0,0.0
2025-04-23,水,0.0,1380.0,10270,22770,1860.0,2410.0,7920.0,1210.0,0.0,7460,11440,32660,19270.0,14840.0,0.0,0.0
2025-04-24,木,0.0,1910.0,3850,9290,19430.0,0.0,0.0,1460.0,4020.0,2850,32570,57880,7990.0,7220.0,0.0,0.0
2025-04-25,金,0.0,2620.0,10860,13530,1600.0,1660.0,0.0,1610.0,1990.0,33770,39720,15820,16130.0,29380.0,0.0,0.0
2025-04-26,土,0.0,1980.0,25130,15260,6290.0,6280.0,6190.0,6390.0,7260.0,31100,33050,21250,7760.0,18260.0,0.0,0.0
2025-04-27,日,0.0,0.0,30700,11130,8540.0,19070.0,0.0,0.0,18640.0,37620,36590,11690,0.0,0.0,0.0,0.0
2025-04-30,水,0.0,0.0,16670,22020,7690.0,1210.0,3010.0,9170.0,0.0,2930,3030,8410,3790.0,0.0,0.0,0.0
