,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時
2025-12-03,水,0.0,400.0,15340,15460,15880.0,0.0,0.0,0.0,5180.0,24780,32450,19290,15790.0,11870.0,0.0,0.0
2025-12-04,木,0.0,2670.0,12370,39260,6740.0,7780.0,2480.0,2620.0,1350.0,6400,4730,14470,15650.0,8080.0,0.0,0.0
2025-12-05,金,0.0,0.0,1530,18220,5360.0,3820.0,2080.0,17320.0,8860.0,17250,13260,26350,47590.0,15970.0,0.0,0.0
2025-12-06,土,0.0,950.0,21120,26020,5740.0,0.0,700.0,0.0,12420.0,25980,22220,25280,31400.0,4870.0,0.0,0.0
2025-12-07,日,0.0,0.0,35960,22280,15090.0,5090.0,12900.0,7340.0,20900.0,2460,8830,21290,0.0,0.0,0.0,0.0
2025-12-10,水,0.0,5960.0,16010,22550,13730.0,0.0,600.0,1000.0,0.0,30030,38560,12230,32670.0,10910.0,0.0,0.0
2025-12-11,木,0.0,0.0,10890,2160,6220.0,3450.0,1110.0,0.0,2950.0,28240,24720,16230,20680.0,10200.0,0.0,0.0
2025-12-12,金,0.0,1580.0,26790,7600,1500.0,10590.0,0.0,13930.0,10900.0,25800,25760,21810,10070.0,21270.0,0.0,0.0
2025-12-14,日,0.0,3110.0,37590,25620,22500.0,1240.0,10180.0,1410.0,15280.0,21450,16120,10150,0.0,0.0,0.0,0.0
2025-12-17,水,0.0,3410.0,17410,9960,0.0,2620.0,0.0,0.0,3490.0,3510,31980,5820,13900.0,7930.0,0.0,0.0
2025-12-18,木,0.0,2470.0,8490,12990,5820.0,3560.0,6100.0,8750.0,1240.0,18530,9650,38580,33810.0,25210.0,0.0,0.0
2025-12-19,金,0.0,0.0,25260,20260,9210.0,4240.0,1490.0,0.0,6510.0,18370,33590,1900,21220.0,9560.0,0.0,0.0
2025-12-20,土,0.0,1470.0,30130,20550,5760.0,1580.0,9940.0,9170.0,16090.0,27720,103580,15200,42950.0,8530.0,0.0,0.0
2025-12-21,日,0.0,0.0,19980,17200,3220.0,1960.0,4220.0,0.0,17540.0,10300,19900,26990,4770.0,0.0,0.0,0.0
2025-12-24,水,0.0,3320.0,23490,14650,16010.0,12060.0,0.0,1080.0,7680.0,3200,36020,9130,11920.0,13410.0,0.0,0.0
2025-12-25,木,0.0,3520.0,9310,9730,9350.0,7120.0,3140.0,0.0,1240.0,12390,68970,7960,13100.0,0.0,0.0,0.0
2025-12-26,金,0.0,0.0,31450,19710,7210.0,520.0,0.0,2480.0,10360.0,34140,12590,24030,6540.0,26400.0,0.0,0.0
2025-12-27,土,0.0,1240.0,9180,17090,18730.0,14810.0,8520.0,20240.0,15930.0,46610,30660,51290,39570.0,8360.0,0.0,0.0
2025-12-28,日,0.0,5820.0,20230,14660,26580.0,28400.0,1240.0,3430.0,5050.0,26290,35840,42010,50710.0,0.0,0.0,0.0
2025-12-29,月,0.0,2940.0,12860,15940,37890.0,8590.0,9810.0,0.0,0.0,12370,24320,21070,70530.0,26050.0,0.0,0.0
2025-12-30,火,0.0,0.0,30190,24060,18860.0,5230.0,10980.0,12860.0,19470.0,25220,28570,25420,43950.0,19360.0,0.0,5130.0
