,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時
2025-11-01,土,0.0,1710.0,17270.0,36550,25200,1910.0,2960.0,2440.0,10190,20400,71940,16520,23110.0,12780.0,0.0,0.0
2025-11-02,日,0.0,0.0,25620.0,28420,17690,1210.0,1820.0,23070.0,9750,49160,18690,16440,1900.0,3690.0,0.0,0.0
2025-11-05,水,0.0,0.0,24370.0,4280,1060,2760.0,0.0,0.0,11770,12370,16920,10410,16510.0,20360.0,0.0,1080.0
2025-11-06,木,0.0,2860.0,0.0,19000,8600,5860.0,0.0,1060.0,9320,10150,35390,14700,5800.0,65630.0,0.0,0.0
2025-11-07,金,0.0,1060.0,12450.0,22370,1210,14190.0,4340.0,0.0,6240,12400,24820,31070,9740.0,11990.0,0.0,0.0
2025-11-08,土,0.0,0.0,31000.0,12000,35090,10170.0,4400.0,3010.0,16510,39230,22480,27250,0.0,11650.0,0.0,0.0
2025-11-09,日,0.0,0.0,16590.0,27730,17660,3150.0,0.0,6030.0,15690,24130,11580,23050,11960.0,0.0,0.0,0.0
2025-11-12,水,0.0,2770.0,16530.0,25500,4150,1780.0,0.0,4210.0,1850,36590,24830,19940,8390.0,43810.0,0.0,25010.0
2025-11-13,木,0.0,8350.0,14260.0,13440,12740,950.0,0.0,2590.0,11750,13010,71250,22460,17240.0,13140.0,0.0,0.0
2025-11-14,金,0.0,1210.0,13140.0,8680,8090,0.0,5070.0,5020.0,9420,29760,25880,19420,37190.0,6470.0,0.0,8620.0
2025-11-15,土,0.0,0.0,38190.0,10710,24790,0.0,9350.0,8600.0,17050,32700,31390,16310,39920.0,1530.0,0.0,0.0
2025-11-16,日,0.0,0.0,43680.0,28830,10170,5140.0,12100.0,6460.0,13420,33570,21540,23100,0.0,0.0,0.0,0.0
2025-11-19,水,0.0,1750.0,22050.0,17730,11560,6750.0,2520.0,4710.0,4490,9500,11720,14300,23040.0,12300.0,0.0,0.0
2025-11-20,木,0.0,0.0,6090.0,7370,2120,4840.0,3100.0,4900.0,9180,16760,21490,22520,9170.0,4030.0,0.0,0.0
2025-11-21,金,0.0,0.0,6090.0,22670,6740,2010.0,0.0,4380.0,9480,2370,17580,36500,39450.0,28700.0,0.0,0.0
2025-11-22,土,0.0,0.0,22130.0,22910,9310,0.0,10830.0,1110.0,7450,8420,5850,48520,19830.0,44710.0,0.0,0.0
2025-11-23,日,0.0,1250.0,14860.0,30400,11220,12020.0,7760.0,1320.0,11120,54970,34910,8850,4810.0,1670.0,0.0,0.0
2025-11-26,水,0.0,2670.0,20470.0,20760,6040,0.0,1060.0,2000.0,17860,8530,27010,17880,5700.0,12370.0,0.0,3150.0
2025-11-27,木,0.0,0.0,18460.0,6880,21590,0.0,0.0,4300.0,4050,10680,1950,11240,43540.0,9640.0,0.0,0.0
2025-11-28,金,0.0,1060.0,14060.0,16220,1870,0.0,3630.0,4650.0,6440,9280,37420,14310,29140.0,20620.0,0.0,0.0
2025-11-29,土,0.0,0.0,27070.0,16520,10190,17370.0,15090.0,0.0,5210,49300,31230,82650,8470.0,19210.0,0.0,0.0
2025-11-30,日,0.0,0.0,11390.0,34230,28840,2880.0,4980.0,2000.0,35550,32250,3000,11540,19620.0,0.0,0.0,0.0
