,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時
2024-11-01,金,0.0,0.0,32120,930,6160.0,2250.0,6670.0,0.0,4610.0,16760,30910,18110,18660.0,12800.0,0.0,13890.0
2024-11-02,土,0.0,0.0,21620,11890,16690.0,6000.0,1440.0,0.0,11320.0,9300,6880,44540,25850.0,0.0,0.0,0.0
2024-11-03,日,0.0,0.0,23220,27280,19560.0,4090.0,21560.0,11800.0,23010.0,18350,25850,81840,28700.0,0.0,0.0,0.0
2024-11-06,水,0.0,0.0,5420,15250,26120.0,0.0,1710.0,1600.0,3230.0,23510,9710,8510,18880.0,14450.0,0.0,0.0
2024-11-07,木,0.0,0.0,19540,12800,0.0,2360.0,1990.0,5300.0,9370.0,19020,12320,8660,22590.0,16130.0,0.0,0.0
2024-11-08,金,0.0,0.0,8790,14560,15590.0,0.0,0.0,5700.0,11500.0,17120,20560,17530,24480.0,11290.0,0.0,0.0
2024-11-09,土,0.0,3770.0,28300,17090,22200.0,12360.0,5960.0,0.0,12400.0,31080,16350,25180,14290.0,9380.0,0.0,0.0
2024-11-10,日,0.0,1170.0,19680,25080,10000.0,5300.0,1560.0,2560.0,17670.0,20380,9020,12940,0.0,0.0,0.0,0.0
2024-11-13,水,0.0,0.0,26520,17370,8460.0,0.0,1650.0,3020.0,4220.0,8080,7590,23770,31790.0,2690.0,0.0,16550.0
2024-11-14,木,0.0,4370.0,13220,13800,17310.0,1160.0,0.0,0.0,8030.0,5190,7020,43770,13090.0,3800.0,0.0,0.0
2024-11-15,金,0.0,0.0,20960,23580,16050.0,0.0,0.0,0.0,4220.0,23740,13320,9340,21680.0,22340.0,0.0,2330.0
2024-11-16,土,0.0,0.0,13530,20980,16690.0,15480.0,2880.0,4190.0,24110.0,15880,30230,7160,8760.0,14910.0,0.0,0.0
2024-11-17,日,0.0,2440.0,26490,43900,10590.0,2270.0,1170.0,1490.0,29290.0,29920,16770,6270,0.0,0.0,0.0,0.0
2024-11-20,水,0.0,3110.0,12590,14480,8020.0,340.0,2730.0,11490.0,2130.0,13960,15430,20860,11940.0,11940.0,0.0,0.0
2024-11-21,木,0.0,0.0,5330,14460,14900.0,3340.0,2730.0,1370.0,3410.0,9280,22410,20630,21810.0,18960.0,0.0,7190.0
2024-11-22,金,0.0,1630.0,9490,1680,6320.0,16190.0,0.0,1490.0,0.0,13740,21520,17120,44120.0,17450.0,0.0,0.0
2024-11-23,土,0.0,2370.0,29780,30990,12430.0,18820.0,3340.0,5670.0,7810.0,28780,16930,74530,25670.0,10960.0,0.0,0.0
2024-11-24,日,0.0,0.0,32770,14810,7090.0,16440.0,10210.0,12630.0,21040.0,22790,53120,18220,0.0,0.0,0.0,0.0
2024-11-27,水,3900.0,0.0,20850,17960,6050.0,13430.0,0.0,3560.0,15860.0,22480,22100,26440,12420.0,8410.0,0.0,0.0
2024-11-28,木,0.0,0.0,15420,21090,1480.0,4020.0,1980.0,7080.0,8710.0,13870,10480,10010,22770.0,2990.0,0.0,0.0
2024-11-29,金,0.0,0.0,7370,35410,20040.0,5630.0,5900.0,3650.0,22520.0,7100,7830,15970,34560.0,18510.0,0.0,0.0
2024-11-30,土,0.0,1630.0,25860,16700,23100.0,7820.0,1240.0,4660.0,11470.0,38980,23030,45370,12090.0,17230.0,0.0,0.0
