,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,01時,00時
2025-02-01,土,0.0,1060.0,27560,12550,15670,2440.0,1510.0,4970.0,8330,46290,7790,19530,1770.0,8110.0,0.0,0.0,0.0
2025-02-02,日,0.0,3090.0,18190,20360,19740,4380.0,0.0,1060.0,22560,3090,31810,15590,0.0,0.0,0.0,0.0,0.0
2025-02-05,水,0.0,0.0,19670,24310,8620,5740.0,10630.0,1380.0,2840,19280,44930,25410,11750.0,15100.0,0.0,0.0,0.0
2025-02-06,木,0.0,0.0,10790,19160,7700,0.0,1890.0,1210.0,7870,11290,40360,26870,34570.0,6080.0,0.0,100.0,0.0
2025-02-07,金,0.0,4790.0,16260,2290,12060,340.0,4470.0,3100.0,2700,7190,18280,27510,21780.0,7480.0,0.0,0.0,0.0
2025-02-08,土,0.0,0.0,29290,24140,21380,4300.0,3670.0,0.0,35590,42180,21120,19630,16840.0,16710.0,0.0,0.0,0.0
2025-02-09,日,0.0,1210.0,32170,48850,16900,5450.0,0.0,0.0,15620,17790,15310,16310,0.0,0.0,0.0,0.0,0.0
2025-02-12,水,0.0,0.0,10770,8030,10710,5980.0,2300.0,1060.0,5390,10770,27780,8200,20590.0,7280.0,0.0,0.0,0.0
2025-02-13,木,0.0,0.0,16680,13150,18720,3950.0,0.0,1430.0,6960,18000,12710,38460,19180.0,27220.0,0.0,0.0,0.0
2025-02-14,金,0.0,1080.0,11220,1060,2120,2420.0,0.0,8270.0,7950,12450,35070,33890,32140.0,25660.0,0.0,0.0,0.0
2025-02-15,土,0.0,0.0,15410,22470,40810,17240.0,2590.0,2940.0,13720,7800,24940,36360,10240.0,26440.0,0.0,0.0,5370.0
2025-02-16,日,0.0,3200.0,32250,24800,15710,10340.0,4110.0,0.0,11940,21900,2310,68250,15570.0,0.0,0.0,0.0,0.0
2025-02-19,水,0.0,2270.0,34530,22950,10430,8370.0,0.0,340.0,13610,16670,25400,3340,22670.0,15440.0,0.0,0.0,0.0
2025-02-20,木,0.0,4540.0,23900,4170,6190,7210.0,0.0,2420.0,10290,28580,14070,20500,14840.0,2630.0,0.0,0.0,0.0
2025-02-21,金,0.0,0.0,10400,24320,7260,1210.0,3780.0,3630.0,18780,33940,25720,15590,20260.0,26150.0,0.0,0.0,0.0
2025-02-22,土,0.0,0.0,34250,23840,26310,2970.0,2900.0,3100.0,14910,38180,48600,25680,12730.0,35110.0,0.0,0.0,13340.0
2025-02-23,日,0.0,2270.0,34120,39860,27980,3680.0,4240.0,0.0,8750,29210,33210,37640,6080.0,38510.0,0.0,0.0,0.0
2025-02-26,水,0.0,1210.0,7340,19340,10720,14210.0,0.0,2420.0,1400,14770,21740,14070,18800.0,37250.0,0.0,0.0,7060.0
2025-02-27,木,0.0,0.0,11050,12440,6000,1950.0,0.0,0.0,3040,14890,7230,4240,12590.0,2060.0,0.0,0.0,0.0
2025-02-28,金,0.0,3020.0,24980,16530,3630,5110.0,0.0,700.0,8950,35120,23970,15890,24170.0,28650.0,0.0,0.0,0.0
