,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時
2024-03-01,金,0.0,1970.0,12070,16600,5030.0,1170.0,0.0,3240.0,13160.0,10890.0,17650.0,46710,18190.0,10230.0,0.0,0.0
2024-03-02,土,0.0,4880.0,27700,35220,10620.0,8060.0,4170.0,0.0,14110.0,28120.0,55810.0,5500,9150.0,2580.0,0.0,0.0
2024-03-03,日,0.0,0.0,38780,20560,16730.0,9330.0,4880.0,2970.0,22600.0,19470.0,36770.0,2450,0.0,0.0,0.0,0.0
2024-03-06,水,0.0,0.0,25890,15890,12180.0,400.0,990.0,1170.0,9330.0,25290.0,29520.0,1200,3400.0,9280.0,0.0,0.0
2024-03-07,木,0.0,0.0,10750,8960,10960.0,2340.0,2650.0,4290.0,990.0,9600.0,35550.0,28400,18940.0,4620.0,0.0,0.0
2024-03-08,金,0.0,0.0,17910,12000,9000.0,6010.0,0.0,2730.0,10220.0,6660.0,28700.0,26320,21280.0,61830.0,0.0,0.0
2024-03-09,土,0.0,0.0,38940,9610,5560.0,0.0,0.0,0.0,0.0,0.0,0.0,800,272800.0,0.0,0.0,0.0
2024-03-10,日,0.0,4540.0,26400,32450,44210.0,3850.0,4660.0,2340.0,12260.0,39030.0,10930.0,14970,0.0,0.0,0.0,0.0
2024-03-13,水,0.0,5440.0,18770,31300,5690.0,0.0,3510.0,0.0,5660.0,18130.0,16520.0,21960,119960.0,21160.0,0.0,0.0
2024-03-14,木,0.0,1390.0,8000,16040,9580.0,5560.0,2470.0,2090.0,5310.0,16150.0,22380.0,4360,33720.0,5330.0,0.0,0.0
2024-03-15,金,0.0,4250.0,17540,12410,9980.0,16480.0,0.0,4680.0,4170.0,19770.0,18440.0,24560,49820.0,13110.0,0.0,0.0
2024-03-16,土,0.0,0.0,24680,26930,30790.0,0.0,6310.0,0.0,8750.0,39790.0,26850.0,33580,7580.0,10860.0,0.0,0.0
2024-03-17,日,0.0,0.0,28390,35790,31490.0,1250.0,1170.0,3530.0,29940.0,24170.0,42730.0,11360,0.0,0.0,0.0,0.0
2024-03-20,水,0.0,0.0,33130,35570,22140.0,11470.0,8030.0,0.0,22870.0,26020.0,29350.0,23920,0.0,0.0,0.0,0.0
2024-03-21,木,0.0,2580.0,13080,10240,4050.0,1570.0,2840.0,0.0,5190.0,17060.0,12970.0,4120,6130.0,1200.0,0.0,0.0
2024-03-22,金,0.0,0.0,11580,34890,10740.0,3520.0,2340.0,0.0,9700.0,15520.0,41470.0,28980,13080.0,12120.0,0.0,4810.0
2024-03-23,土,0.0,0.0,17290,14680,3300.0,99500.0,0.0,500.0,6510.0,24210.0,41020.0,9940,8410.0,6550.0,0.0,0.0
2024-03-24,日,0.0,0.0,38090,32320,32780.0,13080.0,0.0,4860.0,12970.0,24520.0,66100.0,27710,9800.0,0.0,0.0,0.0
2024-03-27,水,0.0,1810.0,28760,21210,7490.0,1910.0,0.0,1070.0,0.0,18440.0,30120.0,7100,23000.0,12780.0,0.0,0.0
2024-03-28,木,0.0,2880.0,14040,12260,0.0,1420.0,0.0,1670.0,0.0,9800.0,7700.0,18050,11240.0,1380.0,0.0,0.0
2024-03-29,金,0.0,1920.0,13480,14140,9360.0,6220.0,0.0,4490.0,5840.0,39420.0,29030.0,21600,39030.0,16470.0,0.0,0.0
2024-03-30,土,0.0,1170.0,21580,17640,25100.0,16840.0,6200.0,5340.0,4150.0,25880.0,49410.0,17280,19700.0,5970.0,0.0,0.0
2024-03-31,日,0.0,0.0,38510,34030,26690.0,5070.0,6060.0,0.0,15970.0,18140.0,21210.0,21570,0.0,0.0,0.0,0.0
