,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時
2024-09-01,日,0.0,2960.0,27900,29130,15210.0,2730.0,6610.0,2380.0,11790,23420,15520,20640,0.0,0.0,0.0,0.0
2024-09-04,水,0.0,1300.0,8770,15430,5640.0,3830.0,2270.0,2340.0,9420,11750,6850,19470,24160.0,9050.0,0.0,0.0
2024-09-05,木,0.0,0.0,15980,19330,13620.0,3540.0,0.0,0.0,4660,19600,2880,5950,31260.0,1200.0,0.0,0.0
2024-09-06,金,0.0,0.0,17080,14210,9280.0,2560.0,3200.0,570.0,9160,16880,18840,26220,19060.0,31420.0,0.0,0.0
2024-09-07,土,0.0,0.0,24890,44160,11850.0,9710.0,2960.0,0.0,18140,38480,25620,26130,30870.0,4200.0,0.0,0.0
2024-09-08,日,0.0,0.0,10390,30520,19510.0,2340.0,5680.0,2250.0,17420,46260,30260,18670,0.0,0.0,0.0,0.0
2024-09-11,水,0.0,1340.0,14270,25030,12150.0,5290.0,2390.0,0.0,13930,26930,5870,8190,10400.0,26620.0,0.0,6290.0
2024-09-12,木,0.0,0.0,15530,22150,0.0,8440.0,3670.0,0.0,4800,25930,32270,15500,15510.0,18550.0,0.0,0.0
2024-09-13,金,0.0,0.0,8280,10000,10750.0,3900.0,3990.0,3060.0,11840,16130,18480,22260,56010.0,13140.0,0.0,3050.0
2024-09-14,土,860.0,3650.0,18100,32960,19390.0,16210.0,11350.0,7680.0,9500,23460,5680,47600,21580.0,19700.0,0.0,0.0
2024-09-15,日,0.0,1990.0,14640,24800,15610.0,10350.0,1170.0,0.0,15980,32020,26520,4120,11330.0,7770.0,0.0,0.0
2024-09-18,水,0.0,2410.0,20700,29040,5310.0,3410.0,3510.0,0.0,10180,22380,19970,9920,16010.0,9910.0,0.0,4390.0
2024-09-19,木,0.0,0.0,14540,11870,8320.0,0.0,4040.0,0.0,9850,9090,31060,11090,13110.0,10880.0,0.0,0.0
2024-09-20,金,0.0,0.0,16460,13750,1480.0,9110.0,2640.0,1420.0,2170,7350,25440,18880,37340.0,6030.0,0.0,0.0
2024-09-21,土,0.0,1430.0,21860,36840,9140.0,2720.0,2320.0,10400.0,23130,17640,25340,65650,21250.0,20650.0,0.0,0.0
2024-09-22,日,0.0,0.0,21850,11790,17720.0,6650.0,11960.0,9700.0,15190,36450,28920,22020,31360.0,8700.0,0.0,0.0
2024-09-25,水,0.0,1240.0,30870,11250,4780.0,13750.0,3220.0,0.0,6540,7950,19130,8300,23740.0,1250.0,0.0,0.0
2024-09-26,木,0.0,0.0,19420,9260,13560.0,11700.0,0.0,2620.0,3390,8140,15020,24800,11200.0,21980.0,0.0,0.0
2024-09-27,金,0.0,0.0,14160,3160,7010.0,2200.0,2160.0,0.0,8580,28320,13720,10520,21400.0,19240.0,0.0,0.0
2024-09-28,土,0.0,5150.0,13290,9030,3980.0,11330.0,0.0,6460.0,10210,28870,45020,24180,6350.0,14750.0,0.0,0.0
2024-09-29,日,0.0,0.0,26130,30730,53430.0,8620.0,0.0,2130.0,18040,44060,37100,12840,0.0,0.0,0.0,0.0
