,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時
2025-03-01,土,0.0,0.0,16,9,13,2.0,1.0,0.0,3,12.0,27,7,9.0,3.0,0.0,0.0
2025-03-02,日,0.0,0.0,9,24,7,3.0,4.0,1.0,5,10.0,11,11,8.0,0.0,0.0,0.0
2025-03-05,水,0.0,0.0,5,5,8,1.0,4.0,0.0,2,7.0,2,4,8.0,1.0,0.0,0.0
2025-03-06,木,0.0,0.0,5,28,3,3.0,2.0,1.0,6,10.0,9,11,8.0,5.0,0.0,0.0
2025-03-07,金,0.0,1.0,6,6,1,0.0,2.0,0.0,3,16.0,18,18,9.0,6.0,0.0,1.0
2025-03-08,土,0.0,1.0,14,19,7,1.0,2.0,0.0,9,7.0,9,9,2.0,1.0,0.0,0.0
2025-03-09,日,0.0,0.0,15,8,11,5.0,0.0,1.0,2,11.0,5,14,6.0,0.0,0.0,0.0
2025-03-12,水,0.0,0.0,4,2,6,0.0,0.0,13.0,6,2.0,1,8,9.0,2.0,0.0,0.0
2025-03-13,木,0.0,1.0,14,3,9,0.0,0.0,2.0,3,6.0,6,4,16.0,0.0,0.0,0.0
2025-03-14,金,0.0,1.0,6,11,7,1.0,0.0,5.0,2,18.0,14,12,14.0,5.0,0.0,0.0
2025-03-15,土,0.0,0.0,10,9,11,3.0,0.0,0.0,5,9.0,3,5,16.0,1.0,0.0,0.0
2025-03-16,日,0.0,0.0,16,26,6,24.0,0.0,2.0,13,22.0,6,5,0.0,0.0,0.0,0.0
2025-03-19,水,0.0,0.0,8,10,10,2.0,0.0,1.0,2,16.0,18,15,9.0,6.0,0.0,2.0
2025-03-20,木,0.0,0.0,16,17,14,9.0,8.0,3.0,10,14.0,8,6,5.0,4.0,0.0,0.0
2025-03-21,金,0.0,0.0,6,11,4,0.0,1.0,0.0,8,5.0,5,9,3.0,6.0,0.0,0.0
2025-03-22,土,0.0,1.0,10,10,9,0.0,2.0,1.0,6,14.0,11,11,12.0,2.0,0.0,0.0
2025-03-23,日,0.0,0.0,13,23,11,1.0,3.0,1.0,8,15.0,6,16,3.0,0.0,0.0,0.0
2025-03-26,水,0.0,1.0,22,3,7,0.0,0.0,0.0,2,12.0,5,14,8.0,6.0,0.0,0.0
2025-03-27,木,0.0,2.0,12,8,3,0.0,2.0,0.0,3,5.0,6,11,6.0,2.0,0.0,0.0
2025-03-28,金,0.0,1.0,8,9,6,4.0,2.0,4.0,6,10.0,19,10,6.0,5.0,0.0,0.0
2025-03-29,土,0.0,1.0,14,7,5,2.0,4.0,1.0,6,0.0,19,9,11.0,5.0,0.0,0.0
2025-03-30,日,0.0,0.0,23,29,26,2.0,2.0,2.0,7,9.0,7,17,1.0,0.0,0.0,0.0
