,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時,01時
2025-10-01,水,0.0,0.0,3.0,7.0,1.0,1.0,9.0,0.0,2.0,3,9,8,4.0,2.0,0.0,0.0,0.0
2025-10-02,木,0.0,0.0,1.0,6.0,7.0,1.0,1.0,2.0,7.0,5,6,9,6.0,6.0,0.0,0.0,0.0
2025-10-03,金,0.0,0.0,7.0,5.0,3.0,0.0,2.0,3.0,3.0,15,2,14,4.0,10.0,0.0,0.0,0.0
2025-10-04,土,0.0,1.0,7.0,10.0,4.0,4.0,0.0,6.0,4.0,20,6,9,14.0,6.0,0.0,0.0,0.0
2025-10-05,日,0.0,3.0,15.0,21.0,22.0,4.0,0.0,3.0,13.0,14,14,8,0.0,0.0,0.0,0.0,0.0
2025-10-08,水,0.0,0.0,11.0,16.0,4.0,2.0,0.0,0.0,0.0,14,5,10,11.0,5.0,0.0,1.0,0.0
2025-10-09,木,0.0,0.0,11.0,10.0,0.0,3.0,1.0,4.0,4.0,9,12,4,10.0,0.0,0.0,0.0,0.0
2025-10-10,金,0.0,0.0,6.0,7.0,5.0,0.0,0.0,0.0,5.0,4,7,15,25.0,22.0,0.0,2.0,0.0
2025-10-11,土,0.0,1.0,11.0,20.0,7.0,5.0,2.0,0.0,12.0,4,13,10,9.0,3.0,0.0,0.0,0.0
2025-10-12,日,0.0,1.0,11.0,19.0,17.0,3.0,7.0,0.0,3.0,10,16,23,16.0,4.0,0.0,6.0,0.0
2025-10-15,水,0.0,0.0,11.0,11.0,3.0,2.0,2.0,4.0,3.0,4,8,3,20.0,3.0,0.0,0.0,0.0
2025-10-16,木,0.0,2.0,1.0,4.0,7.0,0.0,1.0,0.0,3.0,11,11,6,6.0,5.0,0.0,0.0,0.0
2025-10-17,金,0.0,0.0,8.0,7.0,2.0,2.0,1.0,0.0,10.0,3,7,22,9.0,12.0,0.0,0.0,1.0
2025-10-18,土,0.0,1.0,11.0,23.0,19.0,2.0,0.0,1.0,13.0,7,12,10,23.0,18.0,0.0,0.0,0.0
2025-10-19,日,0.0,2.0,10.0,18.0,6.0,2.0,7.0,0.0,3.0,25,6,4,0.0,0.0,0.0,0.0,0.0
2025-10-22,水,0.0,0.0,8.0,6.0,2.0,0.0,0.0,0.0,2.0,12,10,4,18.0,1.0,0.0,0.0,0.0
2025-10-23,木,0.0,0.0,8.0,6.0,7.0,0.0,0.0,2.0,4.0,11,12,16,4.0,5.0,0.0,0.0,0.0
2025-10-24,金,0.0,0.0,3.0,10.0,3.0,1.0,0.0,3.0,6.0,10,10,8,8.0,11.0,0.0,0.0,0.0
2025-10-25,土,0.0,0.0,19.0,16.0,17.0,1.0,3.0,4.0,1.0,10,10,13,5.0,2.0,0.0,0.0,0.0
2025-10-26,日,0.0,0.0,23.0,10.0,11.0,7.0,13.0,3.0,9.0,19,17,3,0.0,0.0,0.0,0.0,0.0
2025-10-29,水,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11,9,9,6.0,3.0,0.0,4.0,0.0
2025-10-30,木,0.0,0.0,13.0,9.0,3.0,1.0,0.0,1.0,10.0,6,8,6,11.0,10.0,0.0,0.0,1.0
2025-10-31,金,0.0,0.0,7.0,8.0,6.0,0.0,0.0,1.0,1.0,6,15,10,8.0,5.0,0.0,2.0,0.0
