,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00
2023-02-01,水,0.0,1.0,14,8,6.0,0.0,0.0,1.0,0,11,7,13,8.0,2.0,0.0
2023-02-02,木,0.0,4.0,10,5,2.0,0.0,0.0,0.0,5,1,8,6,6.0,1.0,0.0
2023-02-03,金,0.0,1.0,11,14,5.0,1.0,0.0,0.0,4,7,1,4,8.0,2.0,0.0
2023-02-04,土,0.0,0.0,16,22,8.0,2.0,0.0,0.0,2,9,7,12,3.0,2.0,0.0
2023-02-05,日,0.0,3.0,7,6,11.0,0.0,0.0,3.0,7,14,2,17,3.0,0.0,0.0
2023-02-08,水,0.0,3.0,3,10,1.0,0.0,0.0,0.0,5,5,8,2,8.0,7.0,0.0
2023-02-09,木,0.0,1.0,12,5,8.0,0.0,0.0,0.0,5,11,10,5,2.0,4.0,0.0
2023-02-10,金,0.0,2.0,9,5,3.0,0.0,0.0,0.0,5,5,7,7,4.0,0.0,0.0
2023-02-11,土,0.0,4.0,8,18,24.0,1.0,0.0,1.0,8,8,22,8,3.0,0.0,0.0
2023-02-12,日,0.0,0.0,19,9,17.0,3.0,0.0,2.0,7,14,10,4,0.0,0.0,0.0
2023-02-15,水,0.0,3.0,17,7,6.0,0.0,0.0,0.0,3,3,11,3,3.0,4.0,0.0
2023-02-16,木,0.0,1.0,12,9,1.0,0.0,0.0,0.0,6,12,9,4,5.0,0.0,0.0
2023-02-17,金,0.0,0.0,22,14,5.0,0.0,0.0,0.0,10,12,6,3,4.0,1.0,0.0
2023-02-18,土,0.0,1.0,17,14,16.0,1.0,2.0,2.0,7,15,12,4,12.0,1.0,0.0
2023-02-19,日,0.0,0.0,13,9,5.0,0.0,0.0,0.0,2,10,4,3,0.0,0.0,0.0
2023-02-22,水,0.0,3.0,13,8,6.0,0.0,0.0,0.0,1,7,5,10,10.0,5.0,0.0
2023-02-23,木,0.0,1.0,10,10,9.0,0.0,0.0,0.0,3,14,11,17,0.0,0.0,0.0
2023-02-24,金,0.0,0.0,8,13,0.0,0.0,0.0,0.0,1,7,6,10,2.0,5.0,0.0
2023-02-25,土,0.0,0.0,9,10,5.0,0.0,0.0,0.0,2,15,7,7,4.0,8.0,0.0
2023-02-26,日,0.0,1.0,6,14,10.0,0.0,0.0,1.0,7,5,9,4,1.0,0.0,0.0
