,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時
2025-09-03,水,0.0,0.0,2,13,1,6,1.0,0.0,4.0,9,14,2,6.0,1.0,0.0,0.0
2025-09-04,木,0.0,0.0,14,6,5,5,3.0,1.0,2.0,2,3,16,4.0,4.0,0.0,0.0
2025-09-05,金,0.0,2.0,5,1,2,4,1.0,0.0,0.0,8,14,7,12.0,12.0,0.0,0.0
2025-09-06,土,0.0,0.0,16,16,6,13,3.0,2.0,6.0,5,17,17,17.0,10.0,0.0,1.0
2025-09-07,日,0.0,0.0,22,17,11,3,0.0,1.0,3.0,12,7,3,0.0,0.0,0.0,0.0
2025-09-10,水,0.0,3.0,10,6,7,4,2.0,2.0,9.0,16,9,14,7.0,0.0,0.0,0.0
2025-09-11,木,0.0,0.0,8,10,8,1,3.0,7.0,1.0,15,12,6,5.0,4.0,0.0,9.0
2025-09-12,金,0.0,1.0,4,4,2,3,4.0,1.0,6.0,3,2,9,10.0,10.0,0.0,0.0
2025-09-13,土,0.0,0.0,6,27,8,2,1.0,8.0,9.0,15,9,7,20.0,5.0,0.0,0.0
2025-09-14,日,0.0,1.0,15,11,18,4,2.0,10.0,12.0,17,15,12,10.0,10.0,0.0,5.0
2025-09-17,水,0.0,0.0,19,1,2,2,0.0,2.0,7.0,9,7,10,9.0,8.0,0.0,0.0
2025-09-18,木,0.0,0.0,9,10,4,1,0.0,3.0,2.0,8,6,3,2.0,4.0,0.0,0.0
2025-09-19,金,0.0,0.0,11,4,3,1,1.0,1.0,3.0,6,4,17,7.0,9.0,0.0,3.0
2025-09-20,土,0.0,2.0,12,10,10,4,1.0,5.0,1.0,15,19,8,17.0,18.0,0.0,0.0
2025-09-21,日,0.0,1.0,8,13,7,7,4.0,1.0,13.0,12,7,10,0.0,0.0,0.0,0.0
2025-09-24,水,0.0,0.0,6,6,4,2,0.0,1.0,2.0,10,14,15,15.0,9.0,0.0,0.0
2025-09-25,木,0.0,2.0,10,7,3,1,1.0,4.0,11.0,2,14,6,11.0,3.0,0.0,5.0
2025-09-26,金,0.0,0.0,17,6,5,1,2.0,4.0,2.0,14,19,22,10.0,7.0,0.0,0.0
2025-09-27,土,0.0,4.0,13,14,5,1,5.0,0.0,15.0,13,15,16,4.0,12.0,0.0,8.0
2025-09-28,日,0.0,0.0,11,13,6,4,5.0,0.0,11.0,6,6,14,0.0,0.0,0.0,0.0
