,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時
2024-06-01,土,0.0,1.0,14,6,14,6.0,1.0,2.0,5.0,19,10,13,14.0,2.0,0.0,0.0
2024-06-02,日,0.0,0.0,16,15,11,0.0,3.0,2.0,14.0,8,14,6,8.0,0.0,0.0,0.0
2024-06-05,水,0.0,2.0,8,12,2,0.0,0.0,2.0,8.0,6,12,9,11.0,8.0,0.0,0.0
2024-06-06,木,0.0,0.0,12,15,3,6.0,0.0,1.0,8.0,14,6,17,5.0,5.0,0.0,0.0
2024-06-07,金,0.0,1.0,11,10,2,3.0,3.0,1.0,8.0,10,2,13,17.0,3.0,0.0,0.0
2024-06-08,土,0.0,0.0,18,11,9,4.0,0.0,6.0,10.0,8,27,2,6.0,4.0,0.0,0.0
2024-06-09,日,0.0,2.0,23,19,5,1.0,0.0,4.0,12.0,9,12,20,0.0,0.0,0.0,0.0
2024-06-12,水,0.0,2.0,12,8,3,2.0,2.0,0.0,0.0,9,18,12,7.0,3.0,0.0,0.0
2024-06-13,木,0.0,0.0,14,1,5,0.0,5.0,0.0,6.0,11,12,6,6.0,4.0,0.0,0.0
2024-06-14,金,0.0,1.0,12,3,3,0.0,0.0,2.0,3.0,3,8,10,8.0,4.0,0.0,0.0
2024-06-15,土,0.0,0.0,17,8,9,1.0,1.0,1.0,5.0,18,6,11,9.0,9.0,0.0,0.0
2024-06-16,日,0.0,0.0,12,33,15,0.0,4.0,1.0,8.0,17,10,13,0.0,0.0,0.0,0.0
2024-06-19,水,0.0,1.0,25,12,6,1.0,1.0,1.0,3.0,14,9,9,13.0,6.0,0.0,0.0
2024-06-20,木,1.0,1.0,16,14,12,0.0,1.0,1.0,3.0,13,9,12,11.0,8.0,0.0,0.0
2024-06-21,金,0.0,3.0,9,2,5,0.0,1.0,0.0,3.0,5,17,11,8.0,20.0,0.0,0.0
2024-06-22,土,0.0,0.0,20,8,17,12.0,3.0,7.0,5.0,2,5,26,20.0,7.0,0.0,0.0
2024-06-23,日,0.0,0.0,19,19,3,1.0,6.0,6.0,10.0,12,5,4,0.0,0.0,0.0,0.0
2024-06-26,水,0.0,0.0,8,4,8,0.0,2.0,6.0,0.0,6,6,6,14.0,15.0,0.0,0.0
2024-06-27,木,0.0,0.0,11,17,1,1.0,0.0,0.0,11.0,10,15,4,11.0,5.0,0.0,0.0
2024-06-28,金,0.0,0.0,8,2,1,4.0,0.0,2.0,2.0,13,16,13,9.0,11.0,0.0,3.0
2024-06-29,土,0.0,0.0,16,21,12,8.0,10.0,5.0,4.0,22,9,24,8.0,3.0,0.0,0.0
2024-06-30,日,0.0,0.0,9,27,8,0.0,2.0,1.0,10.0,10,15,6,0.0,0.0,0.0,0.0
