,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時
2024-02-01,木,0.0,0.0,4,10,11.0,0.0,0.0,0.0,2,1,9,5,3.0,0.0,0.0,0.0
2024-02-02,金,0.0,0.0,11,5,0.0,0.0,0.0,0.0,1,16,18,13,9.0,2.0,0.0,0.0
2024-02-03,土,0.0,0.0,7,19,17.0,0.0,1.0,0.0,9,17,12,1,4.0,9.0,0.0,0.0
2024-02-04,日,0.0,0.0,13,12,9.0,0.0,0.0,2.0,4,5,7,4,0.0,0.0,0.0,0.0
2024-02-07,水,1.0,0.0,6,3,5.0,0.0,0.0,0.0,4,11,8,6,12.0,5.0,0.0,0.0
2024-02-08,木,0.0,3.0,9,4,4.0,0.0,2.0,1.0,3,3,13,7,5.0,7.0,0.0,0.0
2024-02-09,金,0.0,1.0,11,11,4.0,0.0,0.0,0.0,2,17,10,8,12.0,9.0,0.0,0.0
2024-02-10,土,0.0,2.0,8,19,9.0,3.0,1.0,1.0,7,7,15,8,7.0,5.0,0.0,0.0
2024-02-11,日,0.0,2.0,10,12,12.0,0.0,0.0,0.0,6,27,12,5,8.0,1.0,0.0,0.0
2024-02-14,水,0.0,0.0,9,8,5.0,0.0,0.0,1.0,4,4,11,4,11.0,1.0,0.0,0.0
2024-02-15,木,0.0,1.0,17,12,6.0,6.0,0.0,2.0,1,17,17,12,4.0,4.0,0.0,0.0
2024-02-16,金,0.0,2.0,15,15,3.0,1.0,1.0,1.0,4,5,8,6,16.0,7.0,0.0,0.0
2024-02-17,土,0.0,0.0,6,7,16.0,3.0,1.0,35.0,8,19,13,4,6.0,5.0,0.0,0.0
2024-02-18,日,0.0,1.0,28,20,16.0,1.0,0.0,2.0,5,9,11,5,0.0,0.0,0.0,0.0
2024-02-21,水,0.0,1.0,13,5,5.0,3.0,1.0,1.0,8,8,8,9,10.0,4.0,0.0,0.0
2024-02-22,木,0.0,1.0,11,24,8.0,1.0,0.0,0.0,4,11,17,26,12.0,4.0,0.0,1.0
2024-02-23,金,0.0,3.0,27,37,27.0,0.0,1.0,0.0,7,8,19,14,15.0,4.0,0.0,4.0
2024-02-24,土,0.0,4.0,15,34,31.0,4.0,9.0,5.0,7,30,14,21,8.0,4.0,0.0,0.0
2024-02-25,日,0.0,2.0,23,16,22.0,0.0,2.0,0.0,9,8,23,8,0.0,0.0,0.0,0.0
2024-02-28,水,0.0,3.0,20,17,3.0,1.0,2.0,1.0,4,10,7,12,4.0,3.0,0.0,0.0
2024-02-29,木,0.0,1.0,15,3,8.0,1.0,0.0,0.0,6,9,2,8,8.0,0.0,0.0,0.0
