,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00
2023-03-01,水,0.0,2.0,4.0,17.0,8.0,1.0,0.0,0.0,1.0,4.0,6.0,9.0,2.0,4.0,0.0
2023-03-02,木,0.0,2.0,7.0,9.0,3.0,6.0,0.0,0.0,7.0,6.0,5.0,2.0,4.0,1.0,0.0
2023-03-03,金,0.0,0.0,8.0,3.0,8.0,0.0,0.0,0.0,0.0,4.0,8.0,10.0,2.0,6.0,0.0
2023-03-04,土,0.0,2.0,4.0,12.0,2.0,0.0,0.0,0.0,3.0,6.0,4.0,3.0,10.0,1.0,0.0
2023-03-05,日,0.0,2.0,16.0,15.0,5.0,1.0,0.0,0.0,11.0,8.0,4.0,4.0,0.0,0.0,0.0
2023-03-08,水,0.0,4.0,13.0,8.0,1.0,1.0,0.0,0.0,5.0,4.0,10.0,6.0,0.0,1.0,0.0
2023-03-09,木,0.0,0.0,4.0,6.0,4.0,2.0,0.0,1.0,7.0,4.0,5.0,9.0,13.0,1.0,0.0
2023-03-10,金,0.0,0.0,11.0,8.0,3.0,0.0,0.0,0.0,7.0,4.0,18.0,7.0,12.0,12.0,0.0
2023-03-11,土,0.0,2.0,11.0,5.0,15.0,0.0,1.0,0.0,1.0,14.0,14.0,14.0,7.0,1.0,0.0
2023-03-12,日,0.0,1.0,19.0,14.0,16.0,1.0,0.0,0.0,1.0,4.0,6.0,13.0,4.0,0.0,0.0
2023-03-14,火,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-15,水,0.0,1.0,14.0,13.0,4.0,0.0,0.0,0.0,6.0,5.0,12.0,11.0,6.0,7.0,0.0
2023-03-16,木,0.0,0.0,10.0,7.0,13.0,0.0,0.0,0.0,4.0,3.0,18.0,6.0,7.0,0.0,0.0
2023-03-17,金,0.0,1.0,19.0,10.0,11.0,0.0,0.0,0.0,3.0,13.0,11.0,5.0,8.0,3.0,0.0
2023-03-18,土,0.0,1.0,11.0,11.0,4.0,0.0,0.0,0.0,8.0,6.0,6.0,14.0,7.0,3.0,0.0
2023-03-19,日,0.0,1.0,13.0,14.0,7.0,2.0,0.0,3.0,5.0,10.0,10.0,18.0,0.0,0.0,0.0
2023-03-22,水,0.0,0.0,4.0,8.0,7.0,0.0,0.0,0.0,4.0,15.0,4.0,11.0,8.0,2.0,0.0
2023-03-23,木,0.0,1.0,8.0,12.0,16.0,0.0,0.0,0.0,1.0,8.0,8.0,5.0,10.0,6.0,0.0
2023-03-24,金,0.0,1.0,12.0,3.0,4.0,0.0,0.0,0.0,7.0,3.0,12.0,11.0,8.0,2.0,0.0
2023-03-25,土,0.0,0.0,7.0,14.0,6.0,0.0,0.0,0.0,3.0,15.0,9.0,16.0,8.0,3.0,0.0
2023-03-26,日,0.0,0.0,22.0,17.0,23.0,0.0,0.0,1.0,16.0,2.0,17.0,7.0,2.0,0.0,0.0
2023-03-29,水,0.0,0.0,15.0,19.0,12.0,0.0,0.0,0.0,13.0,13.0,18.0,9.0,9.0,6.0,0.0
2023-03-30,木,0.0,0.0,10.0,1.0,5.0,0.0,0.0,0.0,2.0,9.0,9.0,12.0,8.0,1.0,0.0
2023-03-31,金,0.0,2.0,18.0,8.0,6.0,0.0,0.0,0.0,2.0,7.0,12.0,6.0,11.0,3.0,0.0
