,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時
2025-07-02,水,0.0,2.0,4,8,3.0,3.0,4.0,3.0,3.0,1,12,7,1.0,6.0,0.0,0.0
2025-07-03,木,0.0,0.0,7,6,0.0,3.0,3.0,1.0,1.0,4,7,5,6.0,9.0,0.0,1.0
2025-07-04,金,0.0,0.0,4,7,0.0,2.0,1.0,0.0,3.0,2,23,5,6.0,5.0,0.0,0.0
2025-07-05,土,0.0,1.0,7,14,8.0,0.0,0.0,0.0,4.0,15,6,4,11.0,14.0,0.0,0.0
2025-07-06,日,0.0,3.0,27,11,4.0,1.0,2.0,3.0,5.0,12,6,8,0.0,0.0,0.0,0.0
2025-07-09,水,0.0,0.0,11,8,6.0,3.0,2.0,3.0,3.0,12,7,19,5.0,2.0,0.0,0.0
2025-07-10,木,0.0,0.0,8,2,4.0,2.0,1.0,1.0,2.0,3,7,4,11.0,1.0,0.0,3.0
2025-07-11,金,0.0,0.0,8,3,6.0,0.0,0.0,0.0,2.0,5,6,8,9.0,8.0,0.0,0.0
2025-07-12,土,0.0,0.0,6,25,8.0,1.0,5.0,8.0,5.0,9,19,17,18.0,5.0,0.0,0.0
2025-07-13,日,0.0,0.0,12,16,11.0,3.0,0.0,0.0,7.0,5,5,6,0.0,0.0,0.0,0.0
2025-07-16,水,0.0,0.0,6,8,3.0,2.0,0.0,1.0,5.0,4,22,6,6.0,9.0,0.0,0.0
2025-07-17,木,0.0,2.0,3,11,1.0,3.0,1.0,1.0,4.0,2,11,5,9.0,2.0,0.0,0.0
2025-07-18,金,0.0,2.0,12,16,6.0,0.0,0.0,1.0,2.0,7,19,6,6.0,22.0,0.0,0.0
2025-07-19,土,0.0,0.0,8,8,5.0,3.0,2.0,6.0,2.0,10,24,20,13.0,14.0,0.0,0.0
2025-07-20,日,0.0,0.0,8,10,9.0,10.0,0.0,1.0,12.0,16,18,9,12.0,6.0,0.0,0.0
2025-07-23,水,0.0,0.0,3,2,4.0,1.0,0.0,1.0,1.0,2,12,9,3.0,8.0,0.0,0.0
2025-07-24,木,0.0,3.0,6,11,2.0,0.0,0.0,0.0,5.0,9,24,9,3.0,4.0,0.0,0.0
2025-07-25,金,0.0,0.0,6,3,4.0,2.0,0.0,3.0,1.0,10,19,12,5.0,9.0,0.0,1.0
2025-07-26,土,0.0,1.0,10,14,10.0,2.0,1.0,1.0,2.0,5,4,12,11.0,6.0,0.0,0.0
2025-07-27,日,0.0,0.0,12,19,11.0,1.0,3.0,4.0,6.0,7,6,7,8.0,0.0,0.0,0.0
2025-07-30,水,0.0,0.0,6,13,0.0,1.0,1.0,1.0,0.0,14,8,9,10.0,3.0,0.0,0.0
2025-07-31,木,0.0,0.0,9,7,1.0,2.0,2.0,0.0,2.0,7,22,10,18.0,3.0,0.0,0.0
