,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00
2023-07-01,土,0.0,0.0,9,4,8.0,0.0,13.0,6.0,6,6,7,10,8.0,4.0,0.0
2023-07-02,日,0.0,1.0,5,14,4.0,0.0,0.0,2.0,4,6,9,11,0.0,0.0,0.0
2023-07-05,水,0.0,0.0,8,7,0.0,0.0,0.0,0.0,1,3,4,5,1.0,0.0,0.0
2023-07-06,木,0.0,1.0,7,6,3.0,1.0,0.0,0.0,7,8,4,8,9.0,2.0,0.0
2023-07-07,金,0.0,0.0,6,2,1.0,0.0,0.0,0.0,2,5,9,17,4.0,4.0,0.0
2023-07-08,土,0.0,0.0,9,6,4.0,0.0,1.0,1.0,7,8,5,15,9.0,4.0,0.0
2023-07-09,日,0.0,5.0,14,7,6.0,0.0,0.0,1.0,2,3,6,6,0.0,0.0,0.0
2023-07-12,水,0.0,0.0,11,4,3.0,0.0,0.0,0.0,4,2,1,5,6.0,2.0,0.0
2023-07-13,木,0.0,0.0,11,5,9.0,0.0,0.0,0.0,2,7,6,8,6.0,0.0,0.0
2023-07-14,金,0.0,1.0,6,8,6.0,0.0,0.0,0.0,4,5,11,5,9.0,1.0,0.0
2023-07-15,土,0.0,1.0,3,3,6.0,0.0,0.0,0.0,9,8,15,7,8.0,9.0,0.0
2023-07-16,日,0.0,2.0,5,17,10.0,3.0,0.0,0.0,6,6,11,2,0.0,0.0,0.0
2023-07-19,水,0.0,2.0,5,8,2.0,0.0,0.0,0.0,3,10,5,3,6.0,6.0,0.0
2023-07-20,木,0.0,0.0,11,7,0.0,0.0,1.0,0.0,1,3,4,4,4.0,10.0,0.0
2023-07-21,金,0.0,0.0,9,7,7.0,0.0,0.0,0.0,1,12,10,5,8.0,5.0,0.0
2023-07-22,土,0.0,1.0,4,5,2.0,0.0,0.0,0.0,11,7,10,6,7.0,0.0,0.0
2023-07-23,日,0.0,0.0,10,7,6.0,1.0,0.0,0.0,6,4,10,9,0.0,0.0,0.0
2023-07-26,水,1.0,0.0,11,5,5.0,0.0,0.0,1.0,6,5,4,9,23.0,2.0,0.0
2023-07-27,木,0.0,1.0,10,10,2.0,0.0,0.0,1.0,5,7,5,6,3.0,0.0,0.0
2023-07-28,金,0.0,2.0,10,13,1.0,0.0,0.0,0.0,1,8,13,15,11.0,8.0,0.0
2023-07-29,土,0.0,0.0,14,5,4.0,0.0,0.0,0.0,9,3,13,14,14.0,1.0,0.0
2023-07-30,日,0.0,0.0,6,15,4.0,0.0,1.0,0.0,9,9,12,12,4.0,0.0,0.0
