,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時
2024-07-03,水,0.0,3.0,10,7,0,2.0,1.0,0.0,5.0,10,7,7,9.0,0.0,0.0,0.0
2024-07-04,木,0.0,1.0,13,14,4,0.0,0.0,1.0,1.0,8,7,7,10.0,0.0,0.0,0.0
2024-07-05,金,0.0,0.0,14,2,5,0.0,0.0,1.0,3.0,9,11,9,10.0,6.0,0.0,0.0
2024-07-06,土,0.0,2.0,8,14,8,2.0,1.0,2.0,4.0,12,24,14,16.0,2.0,0.0,0.0
2024-07-07,日,0.0,2.0,13,16,13,3.0,7.0,5.0,7.0,22,12,8,2.0,0.0,0.0,0.0
2024-07-10,水,0.0,0.0,17,13,7,0.0,1.0,0.0,0.0,3,7,8,4.0,3.0,0.0,0.0
2024-07-11,木,0.0,0.0,9,12,3,0.0,1.0,2.0,1.0,5,7,16,12.0,0.0,0.0,0.0
2024-07-12,金,0.0,1.0,7,5,6,0.0,2.0,0.0,4.0,5,14,17,26.0,3.0,0.0,0.0
2024-07-13,土,0.0,0.0,16,4,7,7.0,3.0,1.0,5.0,9,15,10,12.0,14.0,0.0,0.0
2024-07-14,日,0.0,0.0,17,27,11,4.0,4.0,0.0,8.0,18,23,8,5.0,8.0,0.0,0.0
2024-07-17,水,0.0,0.0,11,15,7,1.0,2.0,0.0,4.0,7,5,5,10.0,4.0,0.0,0.0
2024-07-18,木,0.0,0.0,7,4,5,4.0,0.0,0.0,0.0,8,8,11,6.0,6.0,0.0,0.0
2024-07-19,金,0.0,0.0,13,26,3,0.0,2.0,1.0,3.0,1,15,10,16.0,5.0,0.0,1.0
2024-07-20,土,1.0,0.0,12,14,13,3.0,6.0,3.0,9.0,16,24,12,4.0,4.0,0.0,0.0
2024-07-21,日,0.0,1.0,10,23,19,1.0,8.0,1.0,4.0,15,21,14,9.0,0.0,0.0,0.0
2024-07-24,水,0.0,1.0,14,8,1,0.0,0.0,1.0,14.0,11,13,15,13.0,0.0,0.0,0.0
2024-07-25,木,0.0,1.0,11,14,2,1.0,1.0,0.0,6.0,8,11,8,4.0,6.0,0.0,0.0
2024-07-26,金,0.0,0.0,8,5,6,4.0,1.0,1.0,1.0,8,16,7,3.0,12.0,0.0,0.0
2024-07-27,土,0.0,0.0,17,15,7,6.0,1.0,0.0,7.0,6,26,15,6.0,7.0,0.0,0.0
2024-07-28,日,0.0,3.0,19,14,16,1.0,5.0,3.0,11.0,14,5,8,0.0,0.0,0.0,0.0
2024-07-31,水,0.0,0.0,11,15,10,3.0,2.0,1.0,5.0,3,11,7,7.0,5.0,0.0,0.0
