,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時
2024-09-01,日,0.0,1.0,19,20,11.0,2.0,4.0,2.0,7,12,11,8,0.0,0.0,0.0,0.0
2024-09-04,水,0.0,1.0,7,7,3.0,2.0,1.0,1.0,5,7,5,14,11.0,6.0,0.0,0.0
2024-09-05,木,0.0,0.0,10,11,10.0,3.0,0.0,0.0,3,12,2,4,14.0,1.0,0.0,0.0
2024-09-06,金,0.0,0.0,11,11,6.0,2.0,2.0,1.0,5,6,8,14,13.0,16.0,0.0,0.0
2024-09-07,土,0.0,0.0,15,25,8.0,5.0,2.0,0.0,13,16,14,15,13.0,3.0,0.0,0.0
2024-09-08,日,0.0,0.0,6,23,10.0,1.0,4.0,1.0,14,25,15,10,0.0,0.0,0.0,0.0
2024-09-11,水,0.0,1.0,9,18,8.0,3.0,1.0,0.0,8,14,5,6,7.0,9.0,0.0,5.0
2024-09-12,木,0.0,0.0,11,14,0.0,5.0,1.0,0.0,3,15,18,8,7.0,8.0,0.0,0.0
2024-09-13,金,0.0,0.0,7,6,7.0,2.0,2.0,3.0,8,7,13,10,18.0,7.0,0.0,2.0
2024-09-14,土,1.0,3.0,14,19,11.0,11.0,5.0,5.0,5,11,5,21,16.0,8.0,0.0,0.0
2024-09-15,日,0.0,1.0,9,15,5.0,9.0,1.0,0.0,8,21,14,3,6.0,6.0,0.0,0.0
2024-09-18,水,0.0,2.0,13,15,3.0,1.0,1.0,0.0,4,8,7,5,14.0,5.0,0.0,1.0
2024-09-19,木,0.0,0.0,10,10,6.0,0.0,3.0,0.0,4,7,15,4,9.0,8.0,0.0,0.0
2024-09-20,金,0.0,0.0,11,8,1.0,3.0,2.0,1.0,2,5,13,7,21.0,2.0,0.0,0.0
2024-09-21,土,0.0,1.0,15,28,7.0,2.0,4.0,4.0,17,11,11,22,8.0,10.0,0.0,0.0
2024-09-22,日,0.0,0.0,18,7,12.0,5.0,7.0,3.0,10,13,17,14,13.0,3.0,0.0,0.0
2024-09-25,水,0.0,1.0,19,8,4.0,4.0,1.0,0.0,4,6,9,6,14.0,1.0,0.0,0.0
2024-09-26,木,0.0,0.0,13,7,6.0,5.0,0.0,2.0,2,3,6,12,9.0,10.0,0.0,0.0
2024-09-27,金,0.0,0.0,7,2,5.0,1.0,2.0,0.0,3,15,5,8,14.0,6.0,0.0,0.0
2024-09-28,土,0.0,2.0,9,5,2.0,7.0,0.0,4.0,5,20,16,9,4.0,6.0,0.0,0.0
2024-09-29,日,0.0,0.0,19,21,27.0,7.0,0.0,2.0,12,35,22,7,0.0,0.0,0.0,0.0
