,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00
2023-06-01,木,0.0,2.0,10,13,3,0.0,0.0,1.0,1.0,6.0,0,4,4.0,2.0,0.0
2023-06-02,金,0.0,0.0,5,1,3,0.0,1.0,0.0,12.0,3.0,4,7,7.0,2.0,0.0
2023-06-03,土,0.0,1.0,4,11,4,0.0,0.0,0.0,5.0,0.0,15,8,6.0,3.0,0.0
2023-06-04,日,0.0,0.0,23,36,34,25.0,31.0,25.0,27.0,44.0,9,3,0.0,2.0,0.0
2023-06-07,水,0.0,2.0,9,4,2,0.0,0.0,0.0,1.0,2.0,8,9,7.0,1.0,0.0
2023-06-08,木,0.0,0.0,8,9,7,0.0,0.0,0.0,2.0,0.0,11,2,3.0,4.0,0.0
2023-06-09,金,0.0,2.0,15,5,7,0.0,0.0,0.0,5.0,9.0,14,3,8.0,12.0,0.0
2023-06-10,土,0.0,1.0,3,6,4,0.0,0.0,0.0,9.0,4.0,13,12,9.0,0.0,0.0
2023-06-11,日,0.0,0.0,4,12,8,0.0,0.0,1.0,9.0,3.0,8,9,4.0,0.0,0.0
2023-06-14,水,0.0,0.0,6,16,4,0.0,0.0,0.0,5.0,6.0,8,8,6.0,3.0,0.0
2023-06-15,木,0.0,1.0,4,5,7,0.0,0.0,1.0,7.0,3.0,11,6,5.0,4.0,0.0
2023-06-16,金,0.0,0.0,19,9,2,0.0,0.0,1.0,0.0,3.0,7,7,4.0,15.0,0.0
2023-06-17,土,0.0,0.0,13,5,4,0.0,1.0,0.0,4.0,5.0,5,10,9.0,5.0,0.0
2023-06-18,日,0.0,1.0,10,7,6,1.0,0.0,0.0,6.0,2.0,10,4,0.0,0.0,0.0
2023-06-21,水,0.0,0.0,8,7,6,0.0,0.0,0.0,4.0,7.0,3,3,2.0,0.0,0.0
2023-06-22,木,0.0,0.0,8,3,2,0.0,0.0,0.0,4.0,4.0,6,4,1.0,3.0,0.0
2023-06-23,金,0.0,0.0,7,2,3,0.0,0.0,0.0,3.0,6.0,9,11,15.0,1.0,0.0
2023-06-24,土,0.0,2.0,10,7,10,0.0,0.0,0.0,8.0,13.0,7,6,8.0,2.0,0.0
2023-06-25,日,0.0,0.0,11,5,3,0.0,0.0,2.0,5.0,9.0,5,14,0.0,0.0,0.0
2023-06-28,水,0.0,1.0,11,7,3,0.0,0.0,0.0,6.0,8.0,10,3,4.0,2.0,0.0
2023-06-29,木,0.0,0.0,5,7,2,0.0,0.0,1.0,3.0,6.0,14,8,8.0,1.0,0.0
2023-06-30,金,0.0,0.0,11,3,4,0.0,0.0,0.0,8.0,4.0,15,8,9.0,15.0,0.0
