,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時
2025-11-01,土,0.0,1.0,8.0,17,16,3.0,1.0,1.0,7,8,26,9,11.0,3.0,0.0,0.0
2025-11-02,日,0.0,0.0,19.0,19,15,1.0,1.0,14.0,8,22,12,10,2.0,4.0,0.0,0.0
2025-11-05,水,0.0,0.0,15.0,3,1,1.0,0.0,0.0,5,5,9,5,9.0,6.0,0.0,1.0
2025-11-06,木,0.0,2.0,0.0,6,2,3.0,0.0,1.0,6,7,20,10,3.0,8.0,0.0,0.0
2025-11-07,金,0.0,1.0,8.0,17,1,4.0,3.0,0.0,3,8,15,16,6.0,9.0,0.0,0.0
2025-11-08,土,0.0,0.0,15.0,8,24,4.0,2.0,1.0,9,23,8,14,0.0,7.0,0.0,0.0
2025-11-09,日,0.0,0.0,11.0,20,9,2.0,0.0,3.0,7,14,7,11,7.0,0.0,0.0,0.0
2025-11-12,水,0.0,1.0,6.0,14,3,2.0,0.0,4.0,1,14,13,8,6.0,18.0,0.0,5.0
2025-11-13,木,0.0,4.0,10.0,14,10,1.0,0.0,2.0,3,9,25,12,10.0,5.0,0.0,0.0
2025-11-14,金,0.0,1.0,8.0,6,4,0.0,2.0,5.0,6,13,16,7,16.0,4.0,0.0,1.0
2025-11-15,土,0.0,0.0,22.0,8,15,0.0,9.0,5.0,11,17,18,7,12.0,1.0,0.0,0.0
2025-11-16,日,0.0,0.0,29.0,17,8,2.0,6.0,2.0,8,16,18,10,0.0,0.0,0.0,0.0
2025-11-19,水,0.0,1.0,13.0,9,3,4.0,1.0,3.0,4,5,7,7,13.0,11.0,0.0,0.0
2025-11-20,木,0.0,0.0,4.0,6,2,4.0,2.0,2.0,6,12,6,8,4.0,3.0,0.0,0.0
2025-11-21,金,0.0,0.0,4.0,9,4,2.0,0.0,3.0,5,2,6,10,10.0,15.0,0.0,0.0
2025-11-22,土,0.0,0.0,18.0,15,4,0.0,6.0,2.0,5,6,5,20,13.0,22.0,0.0,0.0
2025-11-23,日,0.0,1.0,13.0,20,10,4.0,4.0,1.0,7,23,12,4,3.0,1.0,0.0,0.0
2025-11-26,水,0.0,2.0,12.0,12,2,0.0,1.0,1.0,8,5,13,11,2.0,5.0,0.0,1.0
2025-11-27,木,0.0,0.0,8.0,4,7,0.0,0.0,3.0,2,6,2,7,17.0,5.0,0.0,0.0
2025-11-28,金,0.0,1.0,8.0,10,1,0.0,3.0,3.0,5,7,18,9,12.0,11.0,0.0,0.0
2025-11-29,土,0.0,0.0,16.0,9,7,10.0,6.0,0.0,4,22,19,11,7.0,7.0,0.0,0.0
2025-11-30,日,0.0,0.0,10.0,20,16,2.0,4.0,2.0,11,18,2,8,7.0,0.0,0.0,0.0
