,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時
2024-11-01,金,0.0,0.0,26,1,6.0,4.0,6.0,0.0,3.0,9,13,10,11.0,6.0,0.0,3.0
2024-11-02,土,0.0,0.0,13,8,13.0,4.0,1.0,0.0,6.0,7,2,20,6.0,0.0,0.0,0.0
2024-11-03,日,0.0,0.0,19,19,13.0,3.0,8.0,8.0,8.0,13,14,23,13.0,0.0,0.0,0.0
2024-11-06,水,0.0,0.0,4,9,17.0,0.0,1.0,1.0,1.0,15,6,5,9.0,4.0,0.0,0.0
2024-11-07,木,0.0,0.0,14,10,0.0,2.0,1.0,3.0,7.0,14,7,7,10.0,7.0,0.0,0.0
2024-11-08,金,0.0,0.0,6,8,12.0,0.0,0.0,2.0,6.0,10,10,10,11.0,8.0,0.0,0.0
2024-11-09,土,0.0,3.0,25,14,16.0,8.0,3.0,0.0,8.0,8,5,15,3.0,6.0,0.0,0.0
2024-11-10,日,0.0,1.0,17,18,8.0,4.0,1.0,2.0,10.0,12,7,5,0.0,0.0,0.0,0.0
2024-11-13,水,0.0,0.0,19,11,6.0,0.0,1.0,3.0,3.0,7,4,9,18.0,2.0,0.0,6.0
2024-11-14,木,0.0,4.0,8,7,8.0,1.0,0.0,0.0,4.0,3,5,15,13.0,2.0,0.0,0.0
2024-11-15,金,0.0,0.0,14,17,11.0,0.0,0.0,0.0,4.0,11,6,4,9.0,9.0,0.0,1.0
2024-11-16,土,0.0,0.0,5,13,9.0,13.0,4.0,2.0,11.0,11,16,4,7.0,3.0,0.0,0.0
2024-11-17,日,0.0,1.0,22,29,8.0,1.0,1.0,1.0,22.0,17,10,5,0.0,0.0,0.0,0.0
2024-11-20,水,0.0,3.0,7,9,6.0,1.0,2.0,4.0,2.0,10,9,9,6.0,3.0,0.0,0.0
2024-11-21,木,0.0,0.0,4,10,7.0,2.0,2.0,1.0,2.0,5,14,16,6.0,15.0,0.0,3.0
2024-11-22,金,0.0,1.0,6,1,4.0,2.0,0.0,2.0,0.0,11,10,12,23.0,11.0,0.0,0.0
2024-11-23,土,0.0,2.0,24,19,12.0,10.0,2.0,3.0,2.0,15,8,15,15.0,6.0,0.0,0.0
2024-11-24,日,0.0,0.0,24,14,7.0,8.0,5.0,9.0,11.0,11,15,11,0.0,0.0,0.0,0.0
2024-11-27,水,1.0,0.0,11,7,4.0,5.0,0.0,1.0,7.0,11,11,16,4.0,5.0,0.0,0.0
2024-11-28,木,0.0,0.0,10,13,1.0,3.0,2.0,4.0,4.0,7,4,7,13.0,2.0,0.0,0.0
2024-11-29,金,0.0,0.0,4,17,10.0,3.0,4.0,3.0,11.0,3,4,10,16.0,7.0,0.0,0.0
2024-11-30,土,0.0,1.0,12,9,12.0,4.0,1.0,1.0,4.0,15,10,21,6.0,9.0,0.0,0.0
