,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,09時
2023-04-01,土,0.0,2.0,5,6,7.0,0.0,0.0,1.0,10.0,9,11,11,12.0,1.0,0.0,0.0
2023-04-02,日,0.0,1.0,7,14,6.0,0.0,0.0,1.0,11.0,11,11,10,2.0,0.0,0.0,0.0
2023-04-05,水,0.0,2.0,9,6,5.0,0.0,0.0,0.0,4.0,3,4,8,9.0,3.0,0.0,1.0
2023-04-06,木,0.0,2.0,11,14,9.0,0.0,0.0,0.0,0.0,5,5,5,7.0,4.0,0.0,0.0
2023-04-07,金,0.0,0.0,16,7,0.0,0.0,0.0,0.0,8.0,4,6,25,13.0,10.0,0.0,0.0
2023-04-08,土,0.0,2.0,4,6,2.0,0.0,0.0,1.0,2.0,8,7,12,8.0,4.0,0.0,0.0
2023-04-09,日,0.0,2.0,16,22,1.0,0.0,0.0,1.0,11.0,5,15,5,1.0,0.0,0.0,0.0
2023-04-12,水,0.0,0.0,6,3,0.0,0.0,0.0,0.0,1.0,8,13,9,9.0,4.0,0.0,0.0
2023-04-13,木,0.0,0.0,10,10,0.0,0.0,0.0,0.0,5.0,7,17,7,9.0,3.0,0.0,0.0
2023-04-14,金,0.0,2.0,4,3,0.0,0.0,0.0,1.0,5.0,1,8,7,1.0,5.0,0.0,0.0
2023-04-15,土,0.0,0.0,7,6,10.0,0.0,0.0,0.0,4.0,3,16,5,18.0,3.0,0.0,0.0
2023-04-16,日,0.0,3.0,11,13,9.0,0.0,0.0,0.0,16.0,9,15,9,0.0,0.0,0.0,0.0
2023-04-19,水,0.0,0.0,3,7,1.0,0.0,0.0,0.0,2.0,5,8,15,5.0,1.0,0.0,0.0
2023-04-20,木,0.0,0.0,9,9,0.0,0.0,0.0,0.0,2.0,14,12,4,3.0,1.0,0.0,0.0
2023-04-21,金,0.0,0.0,2,5,2.0,0.0,0.0,0.0,1.0,18,10,11,10.0,12.0,0.0,0.0
2023-04-22,土,0.0,1.0,9,8,4.0,0.0,0.0,0.0,2.0,7,4,9,11.0,2.0,0.0,0.0
2023-04-23,日,0.0,1.0,8,7,3.0,0.0,0.0,0.0,14.0,9,5,6,3.0,0.0,0.0,0.0
2023-04-26,水,0.0,0.0,6,7,2.0,0.0,0.0,1.0,2.0,2,7,2,9.0,9.0,0.0,0.0
2023-04-27,木,0.0,2.0,14,3,0.0,1.0,0.0,1.0,4.0,4,9,4,6.0,5.0,0.0,0.0
2023-04-28,金,0.0,2.0,4,4,8.0,0.0,0.0,1.0,5.0,7,8,10,15.0,6.0,0.0,0.0
2023-04-29,土,0.0,3.0,5,8,3.0,0.0,1.0,0.0,8.0,8,5,8,4.0,2.0,0.0,0.0
2023-04-30,日,0.0,2.0,12,9,13.0,0.0,0.0,2.0,4.0,6,16,9,0.0,0.0,0.0,0.0
