,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,01時,00時
2025-02-01,土,0.0,1.0,11,9,6,2.0,1.0,2.0,3,14,3,9,1.0,5.0,0.0,0.0,0.0
2025-02-02,日,0.0,2.0,14,16,13,3.0,0.0,1.0,8,2,11,6,0.0,0.0,0.0,0.0,0.0
2025-02-05,水,0.0,0.0,14,9,3,6.0,4.0,1.0,2,8,11,10,8.0,4.0,0.0,0.0,0.0
2025-02-06,木,0.0,0.0,6,8,3,0.0,1.0,1.0,5,4,22,10,8.0,4.0,0.0,1.0,0.0
2025-02-07,金,0.0,2.0,12,2,5,1.0,2.0,1.0,3,5,12,11,7.0,4.0,0.0,0.0,0.0
2025-02-08,土,0.0,0.0,16,15,12,2.0,2.0,0.0,11,25,11,6,5.0,11.0,0.0,0.0,0.0
2025-02-09,日,0.0,1.0,11,21,5,5.0,0.0,0.0,8,10,9,10,0.0,0.0,0.0,0.0,0.0
2025-02-12,水,0.0,0.0,6,3,7,1.0,1.0,1.0,2,7,15,5,11.0,4.0,0.0,0.0,0.0
2025-02-13,木,0.0,0.0,9,7,10,3.0,0.0,1.0,5,9,5,10,10.0,7.0,0.0,0.0,0.0
2025-02-14,金,0.0,3.0,8,1,2,2.0,0.0,2.0,6,9,19,12,17.0,12.0,0.0,0.0,0.0
2025-02-15,土,0.0,0.0,5,7,23,7.0,2.0,3.0,8,3,11,15,6.0,7.0,0.0,0.0,6.0
2025-02-16,日,0.0,1.0,23,15,10,3.0,3.0,0.0,6,15,2,23,5.0,0.0,0.0,0.0,0.0
2025-02-19,水,0.0,2.0,23,12,3,4.0,0.0,1.0,7,10,12,2,12.0,4.0,0.0,0.0,0.0
2025-02-20,木,0.0,2.0,13,3,3,5.0,0.0,1.0,6,11,6,11,5.0,1.0,0.0,0.0,0.0
2025-02-21,金,0.0,0.0,6,17,6,1.0,3.0,2.0,11,13,14,7,8.0,7.0,0.0,0.0,0.0
2025-02-22,土,0.0,0.0,23,15,20,2.0,2.0,1.0,8,18,30,14,8.0,13.0,0.0,0.0,1.0
2025-02-23,日,0.0,1.0,25,21,19,3.0,2.0,0.0,5,12,19,21,4.0,16.0,0.0,0.0,0.0
2025-02-26,水,0.0,1.0,6,7,8,6.0,0.0,1.0,1,4,6,4,5.0,10.0,0.0,0.0,1.0
2025-02-27,木,0.0,0.0,7,8,4,2.0,0.0,0.0,1,10,4,3,6.0,1.0,0.0,0.0,0.0
2025-02-28,金,0.0,2.0,13,10,3,2.0,0.0,1.0,3,16,10,4,7.0,10.0,0.0,0.0,0.0
