,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時
2025-06-01,日,0.0,0.0,18,23,12.0,2.0,9.0,7.0,6.0,16,7,9,0.0,0.0,0.0,0.0
2025-06-04,水,0.0,0.0,9,8,11.0,1.0,1.0,2.0,6.0,8,16,8,4.0,4.0,0.0,0.0
2025-06-05,木,0.0,0.0,13,5,3.0,1.0,2.0,1.0,3.0,4,5,7,16.0,6.0,0.0,0.0
2025-06-06,金,0.0,0.0,5,3,4.0,1.0,2.0,0.0,4.0,7,20,17,9.0,7.0,0.0,0.0
2025-06-07,土,0.0,2.0,10,12,6.0,4.0,3.0,1.0,1.0,7,12,15,6.0,5.0,0.0,0.0
2025-06-08,日,0.0,0.0,12,29,9.0,3.0,0.0,5.0,4.0,10,6,6,0.0,0.0,0.0,0.0
2025-06-11,水,0.0,4.0,4,7,3.0,1.0,1.0,5.0,2.0,9,5,5,7.0,7.0,0.0,0.0
2025-06-12,木,0.0,1.0,8,18,5.0,4.0,2.0,4.0,0.0,3,10,18,22.0,5.0,0.0,0.0
2025-06-13,金,0.0,0.0,12,9,3.0,0.0,2.0,0.0,3.0,12,13,16,7.0,9.0,0.0,0.0
2025-06-14,土,0.0,0.0,5,14,13.0,9.0,6.0,8.0,1.0,4,3,4,24.0,7.0,0.0,0.0
2025-06-15,日,0.0,0.0,18,31,13.0,8.0,1.0,2.0,7.0,2,10,5,1.0,0.0,0.0,0.0
2025-06-18,水,0.0,0.0,5,10,4.0,3.0,1.0,7.0,0.0,8,10,4,12.0,0.0,0.0,0.0
2025-06-19,木,0.0,0.0,15,5,2.0,1.0,0.0,2.0,4.0,5,4,15,2.0,0.0,0.0,0.0
2025-06-20,金,0.0,1.0,8,6,2.0,2.0,1.0,1.0,3.0,3,4,12,6.0,13.0,0.0,0.0
2025-06-21,土,0.0,2.0,7,16,7.0,0.0,3.0,1.0,6.0,11,11,9,3.0,7.0,0.0,0.0
2025-06-22,日,0.0,1.0,15,14,10.0,0.0,3.0,0.0,9.0,12,3,22,0.0,0.0,0.0,0.0
2025-06-25,水,0.0,2.0,12,16,0.0,1.0,0.0,2.0,4.0,5,10,14,21.0,2.0,0.0,0.0
2025-06-26,木,0.0,1.0,12,5,10.0,3.0,4.0,0.0,1.0,3,10,16,1.0,3.0,0.0,0.0
2025-06-27,金,0.0,3.0,5,3,2.0,1.0,0.0,0.0,5.0,13,10,21,15.0,7.0,0.0,1.0
2025-06-28,土,0.0,2.0,4,14,6.0,0.0,3.0,1.0,2.0,14,20,14,4.0,3.0,0.0,0.0
2025-06-29,日,0.0,0.0,9,21,10.0,1.0,6.0,10.0,18.0,15,8,16,1.0,0.0,0.0,0.0
