,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00
2023-10-01,日,0.0,0.0,17,13,17.0,4.0,0.0,0.0,13,18,10,9,0.0,0.0,0.0
2023-10-04,水,0.0,0.0,6,7,2.0,0.0,0.0,0.0,1,17,4,11,9.0,1.0,0.0
2023-10-05,木,0.0,1.0,6,7,6.0,0.0,0.0,1.0,5,3,7,5,3.0,3.0,0.0
2023-10-06,金,0.0,1.0,11,13,11.0,2.0,0.0,0.0,2,15,19,17,12.0,17.0,0.0
2023-10-07,土,0.0,1.0,10,18,3.0,3.0,1.0,1.0,7,25,10,5,7.0,3.0,0.0
2023-10-08,日,0.0,3.0,11,9,9.0,7.0,0.0,0.0,16,19,13,13,1.0,0.0,0.0
2023-10-11,水,0.0,0.0,6,3,2.0,0.0,0.0,0.0,2,11,2,12,4.0,1.0,0.0
2023-10-12,木,0.0,0.0,8,6,1.0,0.0,0.0,2.0,5,10,7,4,4.0,3.0,0.0
2023-10-13,金,0.0,0.0,4,8,3.0,0.0,1.0,0.0,5,8,12,11,16.0,0.0,0.0
2023-10-14,土,0.0,0.0,9,19,11.0,1.0,0.0,0.0,9,10,22,12,13.0,0.0,0.0
2023-10-15,日,0.0,1.0,16,19,10.0,12.0,0.0,0.0,1,25,4,7,0.0,0.0,0.0
2023-10-18,水,0.0,0.0,7,6,8.0,0.0,0.0,1.0,4,9,7,11,10.0,11.0,0.0
2023-10-19,木,0.0,0.0,11,1,2.0,0.0,0.0,0.0,1,8,7,8,5.0,2.0,0.0
2023-10-20,金,0.0,2.0,11,6,0.0,0.0,0.0,0.0,3,10,7,14,15.0,9.0,0.0
2023-10-21,土,0.0,0.0,9,18,5.0,8.0,0.0,0.0,15,15,10,10,12.0,12.0,0.0
2023-10-22,日,0.0,2.0,20,21,13.0,0.0,0.0,0.0,4,17,1,27,0.0,0.0,0.0
2023-10-25,水,0.0,4.0,6,7,2.0,0.0,0.0,0.0,10,8,10,16,5.0,3.0,0.0
2023-10-26,木,0.0,0.0,5,5,5.0,0.0,0.0,0.0,4,8,9,8,7.0,7.0,0.0
2023-10-27,金,0.0,1.0,4,7,13.0,0.0,0.0,0.0,8,11,19,23,17.0,2.0,0.0
2023-10-28,土,0.0,0.0,7,5,7.0,4.0,0.0,1.0,7,13,6,14,10.0,0.0,0.0
2023-10-29,日,0.0,0.0,19,21,17.0,4.0,1.0,0.0,12,12,10,9,1.0,0.0,0.0
