,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00
2024-04-03,水,0.0,2.0,11,9,5.0,1.0,0.0,0.0,2,4,8,9,3.0,7.0,0.0
2024-04-04,木,0.0,0.0,13,6,11.0,0.0,0.0,2.0,3,6,25,7,8.0,8.0,0.0
2024-04-05,金,0.0,0.0,11,14,1.0,0.0,2.0,0.0,4,37,17,12,16.0,6.0,0.0
2024-04-06,土,0.0,2.0,19,12,7.0,3.0,1.0,0.0,10,18,18,12,4.0,4.0,0.0
2024-04-07,日,0.0,0.0,14,21,17.0,6.0,0.0,5.0,12,15,24,1,0.0,0.0,0.0
2024-04-10,水,0.0,2.0,7,19,1.0,1.0,1.0,2.0,6,5,10,10,5.0,2.0,0.0
2024-04-11,木,0.0,1.0,11,10,9.0,8.0,5.0,0.0,4,6,7,10,18.0,1.0,0.0
2024-04-12,金,0.0,0.0,7,5,0.0,0.0,0.0,1.0,1,14,14,10,7.0,8.0,0.0
2024-04-13,土,0.0,0.0,17,12,5.0,10.0,1.0,0.0,8,16,15,13,9.0,2.0,0.0
2024-04-14,日,0.0,2.0,23,24,20.0,4.0,0.0,0.0,1,14,18,10,0.0,0.0,0.0
2024-04-17,水,0.0,0.0,12,7,2.0,0.0,0.0,5.0,4,11,21,22,19.0,3.0,0.0
2024-04-18,木,0.0,1.0,13,6,5.0,0.0,1.0,0.0,3,7,11,4,5.0,11.0,0.0
2024-04-19,金,0.0,2.0,9,6,7.0,1.0,3.0,1.0,3,6,11,13,15.0,4.0,0.0
2024-04-20,土,0.0,2.0,12,14,8.0,0.0,2.0,1.0,3,14,20,17,11.0,10.0,0.0
2024-04-21,日,0.0,0.0,26,22,8.0,6.0,1.0,1.0,3,6,9,3,0.0,0.0,0.0
2024-04-24,水,0.0,0.0,15,7,4.0,1.0,1.0,0.0,7,12,12,9,20.0,1.0,0.0
2024-04-25,木,0.0,0.0,18,11,3.0,0.0,1.0,0.0,7,5,4,5,16.0,12.0,0.0
2024-04-26,金,0.0,0.0,11,4,3.0,0.0,1.0,4.0,5,17,15,5,14.0,13.0,0.0
2024-04-27,土,0.0,0.0,9,20,12.0,0.0,1.0,3.0,7,8,22,12,4.0,5.0,0.0
2024-04-28,日,0.0,3.0,14,23,12.0,5.0,7.0,0.0,16,22,24,24,6.0,4.0,0.0
