,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00
2023-08-02,水,2.0,0.0,5,5,0.0,0.0,0.0,0.0,4.0,6,11,10.0,7.0,7.0,0.0
2023-08-03,木,0.0,0.0,9,4,7.0,0.0,0.0,0.0,0.0,9,5,1.0,4.0,0.0,0.0
2023-08-04,金,0.0,0.0,4,18,2.0,0.0,0.0,0.0,2.0,6,8,9.0,13.0,3.0,0.0
2023-08-05,土,0.0,3.0,14,3,7.0,0.0,1.0,0.0,9.0,15,5,13.0,13.0,1.0,0.0
2023-08-06,日,0.0,0.0,12,20,6.0,2.0,0.0,2.0,8.0,7,14,4.0,2.0,0.0,0.0
2023-08-09,水,0.0,5.0,11,4,5.0,0.0,0.0,0.0,7.0,8,12,14.0,6.0,0.0,0.0
2023-08-10,木,0.0,1.0,7,8,4.0,0.0,0.0,0.0,2.0,6,8,3.0,11.0,8.0,0.0
2023-08-11,金,0.0,0.0,16,13,5.0,0.0,0.0,0.0,6.0,7,12,16.0,1.0,0.0,0.0
2023-08-12,土,0.0,0.0,6,15,7.0,3.0,0.0,1.0,1.0,5,5,5.0,1.0,0.0,0.0
2023-08-13,日,0.0,0.0,10,23,7.0,2.0,1.0,2.0,5.0,5,14,17.0,0.0,0.0,0.0
2023-08-16,水,0.0,1.0,11,19,2.0,0.0,0.0,0.0,5.0,3,18,6.0,3.0,3.0,0.0
2023-08-17,木,0.0,1.0,13,12,11.0,0.0,0.0,0.0,1.0,18,5,8.0,4.0,4.0,0.0
2023-08-18,金,0.0,0.0,3,5,0.0,0.0,2.0,0.0,7.0,4,10,4.0,6.0,0.0,0.0
2023-08-19,土,0.0,1.0,9,12,2.0,0.0,0.0,0.0,10.0,7,15,14.0,13.0,9.0,0.0
2023-08-20,日,0.0,1.0,3,13,6.0,2.0,1.0,1.0,5.0,8,10,14.0,0.0,0.0,0.0
2023-08-23,水,0.0,0.0,8,8,7.0,1.0,0.0,0.0,15.0,8,12,9.0,14.0,1.0,0.0
2023-08-24,木,0.0,0.0,5,16,0.0,0.0,0.0,0.0,4.0,11,7,12.0,13.0,0.0,0.0
2023-08-25,金,0.0,0.0,12,9,3.0,0.0,0.0,0.0,4.0,17,11,10.0,13.0,0.0,0.0
2023-08-26,土,0.0,0.0,6,8,4.0,0.0,4.0,0.0,8.0,13,17,0.0,14.0,1.0,0.0
2023-08-27,日,0.0,1.0,9,6,0.0,0.0,0.0,2.0,7.0,11,13,16.0,0.0,0.0,0.0
2023-08-30,水,0.0,2.0,9,11,5.0,0.0,0.0,0.0,7.0,9,13,15.0,5.0,0.0,0.0
2023-08-31,木,0.0,1.0,1,9,4.0,0.0,0.0,0.0,4.0,11,7,5.0,6.0,5.0,0.0
