,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,00時
2023-05-03,水,0.0,3.0,2,20.0,5,0.0,0.0,1.0,9,9,19,2,0.0,0.0,0.0,0.0
2023-05-04,木,0.0,2.0,8,15.0,1,0.0,0.0,0.0,4,8,12,16,0.0,0.0,0.0,0.0
2023-05-05,金,0.0,4.0,13,15.0,17,1.0,0.0,0.0,7,8,14,17,5.0,0.0,0.0,0.0
2023-05-06,土,0.0,1.0,11,7.0,5,1.0,0.0,0.0,5,8,3,4,3.0,1.0,0.0,0.0
2023-05-07,日,0.0,0.0,16,7.0,6,2.0,0.0,0.0,5,2,2,8,5.0,0.0,0.0,0.0
2023-05-10,水,0.0,2.0,9,0.0,3,0.0,0.0,0.0,3,7,9,9,3.0,4.0,0.0,0.0
2023-05-11,木,0.0,0.0,4,11.0,6,0.0,0.0,0.0,3,5,6,8,8.0,7.0,0.0,0.0
2023-05-12,金,0.0,0.0,12,5.0,1,0.0,0.0,0.0,13,3,5,17,6.0,0.0,0.0,0.0
2023-05-13,土,0.0,1.0,6,8.0,6,0.0,0.0,0.0,3,5,7,9,1.0,3.0,0.0,0.0
2023-05-14,日,0.0,2.0,4,9.0,4,0.0,0.0,1.0,6,5,9,10,0.0,0.0,0.0,0.0
2023-05-17,水,0.0,0.0,10,7.0,2,0.0,0.0,0.0,4,7,6,11,8.0,1.0,0.0,0.0
2023-05-18,木,0.0,2.0,8,5.0,1,1.0,0.0,0.0,3,10,10,5,11.0,1.0,0.0,2.0
2023-05-19,金,0.0,1.0,6,4.0,2,0.0,0.0,0.0,10,3,7,14,9.0,2.0,0.0,0.0
2023-05-20,土,0.0,2.0,8,5.0,3,0.0,1.0,1.0,13,11,15,9,4.0,6.0,0.0,0.0
2023-05-21,日,0.0,0.0,13,14.0,7,1.0,0.0,1.0,8,7,6,5,2.0,0.0,0.0,0.0
2023-05-24,水,0.0,1.0,12,10.0,1,0.0,0.0,0.0,4,4,17,5,11.0,3.0,0.0,0.0
2023-05-25,木,0.0,1.0,4,3.0,2,0.0,0.0,0.0,4,9,19,5,5.0,0.0,0.0,0.0
2023-05-26,金,0.0,0.0,5,11.0,6,0.0,0.0,0.0,3,3,12,14,19.0,7.0,0.0,0.0
2023-05-27,土,0.0,2.0,8,5.0,4,0.0,0.0,0.0,6,16,13,7,4.0,3.0,0.0,0.0
2023-05-28,日,0.0,3.0,14,19.0,16,0.0,0.0,1.0,6,8,4,5,13.0,0.0,0.0,0.0
2023-05-31,水,0.0,0.0,7,6.0,1,0.0,0.0,0.0,3,7,7,5,10.0,1.0,0.0,0.0
