,曜日,10時,11時,12時,13時,14時,15時,16時,17時,18時,19時,20時,21時,22時,23時,00,09時
2023-09-01,金,0.0,0.0,2,5,3,5.0,0.0,0.0,3.0,11,10,10,7.0,2.0,0.0,0.0
2023-09-02,土,0.0,1.0,2,15,9,1.0,0.0,0.0,5.0,15,15,7,7.0,2.0,0.0,0.0
2023-09-03,日,0.0,0.0,13,10,7,1.0,0.0,2.0,21.0,9,12,20,0.0,0.0,0.0,0.0
2023-09-06,水,0.0,2.0,5,6,2,0.0,0.0,0.0,7.0,15,9,1,6.0,3.0,0.0,0.0
2023-09-07,木,0.0,0.0,5,5,9,0.0,0.0,1.0,4.0,6,5,11,8.0,5.0,0.0,0.0
2023-09-08,金,0.0,0.0,9,7,2,0.0,0.0,0.0,3.0,3,13,8,6.0,0.0,0.0,0.0
2023-09-09,土,0.0,1.0,17,5,13,0.0,0.0,0.0,5.0,8,15,8,2.0,5.0,0.0,0.0
2023-09-10,日,0.0,2.0,14,9,5,0.0,0.0,1.0,6.0,7,6,11,0.0,0.0,0.0,0.0
2023-09-13,水,0.0,2.0,6,5,1,0.0,0.0,0.0,9.0,7,9,13,9.0,1.0,0.0,1.0
2023-09-14,木,0.0,0.0,3,4,4,0.0,0.0,0.0,2.0,9,8,6,16.0,6.0,0.0,0.0
2023-09-15,金,0.0,0.0,11,4,4,0.0,0.0,1.0,0.0,9,9,16,4.0,0.0,0.0,0.0
2023-09-16,土,0.0,0.0,9,1,5,0.0,5.0,0.0,4.0,20,16,16,7.0,0.0,0.0,0.0
2023-09-17,日,0.0,1.0,7,12,8,0.0,2.0,0.0,1.0,16,15,17,0.0,0.0,0.0,0.0
2023-09-20,水,0.0,0.0,7,3,5,0.0,0.0,0.0,2.0,8,1,5,8.0,4.0,0.0,0.0
2023-09-21,木,0.0,0.0,1,1,6,1.0,1.0,1.0,2.0,3,4,12,11.0,5.0,0.0,0.0
2023-09-22,金,0.0,0.0,14,1,6,2.0,0.0,2.0,6.0,11,11,7,5.0,6.0,0.0,0.0
2023-09-23,土,0.0,3.0,11,9,9,0.0,0.0,1.0,6.0,8,20,19,2.0,0.0,0.0,0.0
2023-09-24,日,0.0,3.0,8,17,8,5.0,1.0,2.0,7.0,16,6,7,0.0,0.0,0.0,0.0
2023-09-27,水,0.0,2.0,4,7,3,0.0,0.0,0.0,6.0,9,12,6,13.0,1.0,0.0,0.0
2023-09-28,木,0.0,0.0,8,8,2,4.0,0.0,0.0,1.0,13,5,8,13.0,0.0,0.0,0.0
2023-09-29,金,0.0,0.0,11,7,2,0.0,0.0,1.0,12.0,1,20,6,14.0,0.0,0.0,0.0
2023-09-30,土,0.0,1.0,8,3,14,0.0,0.0,0.0,7.0,20,20,9,7.0,0.0,0.0,0.0
