日付,曜日,天気,最低気温,最高気温,売上(昼),客数(昼),客単価(昼),クレジット(昼),売上(夜),客数(夜),客単価(夜),クレジット(夜),1日総売上,1日総客数,1日客単価,1日クレジット,仕入れ食材計,仕入れ消耗品計,仕入れ交通費計,仕入れその他計,仕入れ合計,,,,
2023/9/1,金,晴/曇り,25℃,34℃,"¥26,350",16人,"¥1,646.88","¥19,150","¥79,110",45人,"¥1,758.00","¥47,620","¥105,460",61人,"¥1,729","¥66,770",,,,,¥0,,,,
2023/9/2,土,晴,24℃,32℃,"¥37,040",27人,"¥1,371.85","¥15,220","¥106,060",61人,"¥1,738.69","¥65,970","¥143,100",88人,"¥1,626","¥81,190",,,,,¥0,,,,
2023/9/3,日,晴,25℃,36℃,"¥37,120",31人,"¥1,197.42","¥12,750","¥97,690",64人,"¥1,526.41","¥68,250","¥134,810",95人,"¥1,419","¥81,000","¥1,715",,,,"¥1,715",,,,
2023/9/4,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/9/5,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/9/6,水,雨/曇り,25℃,31℃,"¥19,350",14人,"¥1,382.14","¥11,070","¥67,850",26人,"¥2,609.62","¥15,430","¥87,200",40人,"¥2,180","¥26,500","¥28,512","¥4,576",,,"¥33,088",,,,
2023/9/7,木,晴/曇り,23℃,33℃,"¥29,300",20人,"¥1,465.00","¥13,770","¥65,330",39人,"¥1,675.13","¥37,340","¥94,630",59人,"¥1,604","¥51,110",,"¥2,755",,"¥1,440","¥4,195",,,,
2023/9/8,金,曇り/雨,23℃,32℃,"¥24,200",18人,"¥1,344.44","¥2,210","¥67,700",33人,"¥2,051.52","¥41,340","¥91,900",51人,"¥1,802","¥43,550","¥3,840",,,,"¥3,840",,,,
2023/9/9,土,晴,22℃,32℃,"¥46,600",33人,"¥1,412.12","¥16,150","¥69,350",43人,"¥1,612.79","-¥15,653","¥115,950",76人,"¥1,526",¥497,"¥2,916","¥5,410",,,"¥8,326",,,,
2023/9/10,日,雨,23℃,33℃,"¥52,920",40人,"¥1,323.00","¥27,850","¥93,950",33人,"¥2,846.97","¥73,320","¥146,870",73人,"¥2,012","¥101,170","¥1,399",,,,"¥1,399",,,,
2023/9/11,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/9/12,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/9/13,水,曇り,23℃,33℃,"¥18,530",14人,"¥1,323.57","¥9,260","¥100,690",53人,"¥1,899.81","¥48,040","¥119,220",67人,"¥1,779","¥57,300","¥18,928",,,,"¥18,928",,,,
2023/9/14,木,晴,24℃,32℃,"¥14,380",11人,"¥1,307.27",¥0,"¥70,470",47人,"¥1,499.36","-¥47,680","¥84,850",58人,"¥1,463","¥37,170","¥19,196",,¥200,,"¥19,396",,,,
2023/9/15,金,晴,26℃,33℃,"¥26,050",18人,"¥1,447.22","¥15,780","¥100,340",38人,"¥2,640.53","¥72,090","¥126,390",56人,"¥2,257","¥87,870",,,,,¥0,,,,
2023/9/16,土,曇り/晴,25℃,34℃,"¥62,820",16人,"¥3,926.25","¥48,760","¥101,180",63人,"¥1,606.03","¥72,650","¥164,000",79人,"¥2,076","¥121,410","¥2,559",,,,"¥2,559",,,,
2023/9/17,日,晴,24℃,33℃,"¥33,310",28人,"¥1,189.64","¥19,760","¥86,000",50人,"¥1,720.00","¥34,530","¥119,310",78人,"¥1,530","¥54,290","¥1,955",,,,"¥1,955",,,,
2023/9/18,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/9/19,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/9/20,水,曇り,25℃,30℃,"¥21,510",15人,"¥1,434.00","¥5,570","¥43,820",28人,"¥1,565.00","¥37,640","¥65,330",43人,"¥1,519","¥43,210",,"¥4,576",,,"¥4,576",,,,
2023/9/21,木,雨,26℃,31℃,"¥12,900",9人,"¥1,433.33","¥8,540","¥53,560",39人,"¥1,373.33","¥23,830","¥66,460",48人,"¥1,385","¥32,370","¥24,200",,,,"¥24,200",,,,
2023/9/22,金,曇り,22℃,29℃,"¥36,930",25人,"¥1,477.20","¥8,300","¥80,600",49人,"¥1,644.90","¥50,340","¥117,530",74人,"¥1,588","¥58,640",,,,,¥0,,,,
2023/9/23,土,晴/曇り,22℃,28℃,"¥40,400",28人,"¥1,442.86","¥17,100","¥111,020",57人,"¥1,947.72","¥63,200","¥151,420",85人,"¥1,781","¥80,300","¥6,600",¥550,,,"¥7,150",,,,
2023/9/24,日,晴,19℃,29℃,"¥65,420",44人,"¥1,486.82","¥33,060","¥74,080",38人,"¥1,949.47","¥62,090","¥139,500",82人,"¥1,701","¥95,150","¥1,627",,,,"¥1,627",,,,
2023/9/25,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/9/26,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/9/27,水,晴,24℃,31℃,"¥24,410",15人,"¥1,627.33","¥6,390","¥80,260",48人,"¥1,672.08","¥53,300","¥104,670",63人,"¥1,661","¥59,690","¥12,420",,,,"¥12,420",,,,
2023/9/28,木,雨,24℃,31℃,"¥34,210",23人,"¥1,487.39","¥14,305","¥88,070",39人,"¥2,258.21","¥72,785","¥122,280",62人,"¥1,972","¥87,090","¥10,684",,,,"¥10,684",,,,
2023/9/29,金,晴,21℃,31℃,"¥29,870",19人,"¥1,572.11","¥18,220","¥91,070",50人,"¥1,821.40","¥45,000","¥120,940",69人,"¥1,753","¥63,220",,,,,¥0,,,,
2023/9/30,土,晴/雨,19℃,30℃,"¥43,510",26人,"¥1,673.46","¥16,480","¥113,560",63人,"¥1,802.54","¥42,630","¥157,070",89人,"¥1,765","¥59,110",,,,,¥0,,,,
