日付,曜日,天気,最低気温,最高気温,売上(昼),客数(昼),客単価(昼),クレジット(昼),売上(夜),客数(夜),客単価(夜),クレジット(夜),1日総売上,1日総客数,1日客単価,1日クレジット,仕入れ食材計,仕入れ消耗品計,仕入れ交通費計,仕入れその他計,仕入れ合計,"昼出勤者(""、""区切り)","夜出勤者(""、""区切り)",記載者,イベント・一言
2022/11/1,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2022/11/2,水,晴,14℃,23℃,"¥55,240",38人,"¥1,453.68",,"¥144,290",80人,"¥1,803.63",¥0,"¥199,530",118人,"¥1,691",,,,,,¥0,,,,
2022/11/3,木,晴,13℃,23℃,"¥75,120",60人,"¥1,252.00",,"¥140,510",65人,"¥2,161.69",¥0,"¥215,630",125人,"¥1,725",,,,,,¥0,,,,
2022/11/4,金,晴,13℃,21℃,"¥30,500",24人,"¥1,270.83",,"¥103,350",61人,"¥1,694.26",¥0,"¥133,850",85人,"¥1,575",,,,,,¥0,,,,
2022/11/5,土,晴,11℃,19℃,"¥65,810",56人,"¥1,175.18",,"¥133,940",68人,"¥1,969.71",¥0,"¥199,750",124人,"¥1,611",,,,,,¥0,,,,
2022/11/6,日,晴,10℃,20℃,"¥53,790",43人,"¥1,250.93",,"¥42,800",34人,"¥1,258.82",¥0,"¥96,590",77人,"¥1,254",,,,,,¥0,,,,
2022/11/7,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2022/11/8,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2022/11/9,水,晴,10℃,20℃,"¥42,810",32人,"¥1,337.81",,"¥69,180",46人,"¥1,503.91",¥0,"¥111,990",78人,"¥1,436",,,,,,¥0,,,,
2022/11/10,木,晴,10℃,22℃,"¥36,110",23人,"¥1,570.00",,"¥85,290",60人,"¥1,421.50",¥0,"¥121,400",83人,"¥1,463",,,,,,¥0,,,,
2022/11/11,金,晴,12℃,22℃,"¥28,340",21人,"¥1,349.52",,"¥153,810",77人,"¥1,997.53",¥0,"¥182,150",98人,"¥1,859",,,,,,¥0,,,,
2022/11/12,土,晴,13℃,24℃,"¥36,340",27人,"¥1,345.93",,"¥121,890",81人,"¥1,504.81",¥0,"¥158,230",108人,"¥1,465",,,,,,¥0,,,,
2022/11/13,日,雨/曇り,15℃,18℃,"¥57,780",39人,"¥1,481.54",,"¥113,110",71人,"¥1,593.10",¥0,"¥170,890",110人,"¥1,554",,,,,,¥0,,,,
2022/11/14,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2022/11/15,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2022/11/16,水,晴,10℃,18℃,"¥41,620",31人,"¥1,342.58",,"¥85,400",58人,"¥1,472.41",¥0,"¥127,020",89人,"¥1,427",,,,,,¥0,,,,
2022/11/17,木,晴,8℃,16℃,"¥14,580",13人,"¥1,121.54",,"¥63,530",39人,"¥1,628.97",¥0,"¥78,110",52人,"¥1,502",,,,,,¥0,,,,
2022/11/18,金,晴,8℃,19℃,"¥29,190",21人,"¥1,390.00",,"¥201,990",55人,"¥3,672.55",¥0,"¥231,180",76人,"¥3,042",,,,,,¥0,,,,
2022/11/19,土,晴,8℃,18℃,"¥76,180",54人,"¥1,410.74",,"¥120,580",14人,"¥8,612.86",¥0,"¥196,760",68人,"¥2,894",,,,,,¥0,,,,
2022/11/20,日,晴,11℃,18℃,"¥55,880",43人,"¥1,299.53",,"¥91,890",50人,"¥1,837.80",¥0,"¥147,770",93人,"¥1,589",,,,,,¥0,,,,
2022/11/21,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2022/11/22,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2022/11/23,水,雨,12℃,15℃,"¥109,360",63人,"¥1,735.87",,"¥62,080",41人,"¥1,514.15",¥0,"¥171,440",104人,"¥1,648",,,,,,¥0,,,,
2022/11/24,木,晴,12℃,19℃,"¥33,010",25人,"¥1,320.40",,"¥74,950",48人,"¥1,561.46",¥0,"¥107,960",73人,"¥1,479",,,,,,¥0,,,,
2022/11/25,金,晴,9℃,18℃,"¥25,880",20人,"¥1,294.00",,"¥99,010",62人,"¥1,596.94",¥0,"¥124,890",82人,"¥1,523",,,,,,¥0,,,,
2022/11/26,土,晴,9℃,18℃,"¥48,780",36人,"¥1,355.00",,"¥128,910",89人,"¥1,448.43",¥0,"¥177,690",125人,"¥1,422",,,,,,¥0,,,,
2022/11/27,日,晴,11℃,17℃,"¥54,920",45人,"¥1,220.44",,"¥42,380",30人,"¥1,412.67",¥0,"¥97,300",75人,"¥1,297",,,,,,¥0,,,,
2022/11/28,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2022/11/29,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2022/11/30,水,曇り/晴,14℃,17℃,"¥45,510",33人,"¥1,379.09",,"¥42,910",27人,"¥1,589.26",¥0,"¥88,420",60人,"¥1,474",,,,,,¥0,,,,
,土,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
