日付,曜日,天気,最低気温,最高気温,売上(昼),客数(昼),客単価(昼),クレジット(昼),売上(夜),客数(夜),客単価(夜),クレジット(夜),1日総売上,1日総客数,1日客単価,1日クレジット,仕入れ食材計,仕入れ消耗品計,仕入れ交通費計,仕入れその他計,仕入れ合計,,,,
2023/10/1,日,曇り/晴,21℃,27℃,"¥73,770",51人,"¥1,446.47","¥44,670","¥70,350",46人,"¥1,529.35","¥36,980","¥144,120",97人,"¥1,486","¥81,650",,,,,¥0,,,,
2023/10/2,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/10/3,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/10/4,水,晴,18℃,26℃,"¥21,880",16人,"¥1,367.50","¥14,940","¥93,320",43人,"¥2,170.23","¥52,390","¥115,200",59人,"¥1,953","¥67,330",,"¥4,576",,,"¥4,576",,,,
2023/10/5,木,晴/曇り,17℃,23℃,"¥27,830",19人,"¥1,464.74","¥13,980","¥49,850",31人,"¥1,608.06","¥24,720","¥77,680",50人,"¥1,554","¥38,700",,,,,¥0,,,,
2023/10/6,金,晴,14℃,24℃,"¥52,890",38人,"¥1,391.84","¥33,040","¥172,540",83人,"¥2,078.80","¥120,630","¥225,430",121人,"¥1,863","¥153,670",,,,,¥0,,,,
2023/10/7,土,晴,15℃,24℃,"¥54,070",38人,"¥1,422.89","¥28,330","¥100,490",58人,"¥1,732.59","¥49,480","¥154,560",96人,"¥1,610","¥77,810",,,,,"¥16,530",,,,
2023/10/8,日,雨,16℃,21℃,"¥46,980",22人,"¥2,135.45","¥17,100","¥127,260",75人,"¥1,696.80","¥59,910","¥174,240",97人,"¥1,796","¥77,010",¥835,,,,¥835,,,,
2023/10/9,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/10/10,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/10/11,水,晴/曇り,15℃,25℃,"¥13,240",9人,"¥1,471.11","¥6,200","¥49,510",32人,"¥1,547.19","¥28,530","¥62,750",41人,"¥1,530","¥34,730","¥13,200",,,,"¥13,200",,,,
2023/10/12,木,晴,13℃,25℃,"¥21,670",15人,"¥1,444.67","¥7,270","¥48,410",35人,"¥1,383.14","¥24,880","¥70,080",50人,"¥1,402","¥32,150",,¥550,,,¥550,,,,
2023/10/13,金,晴/曇り,12℃,25℃,"¥25,780",17人,"¥1,516.47","¥15,850","¥104,850",56人,"¥1,872.32","¥53,150","¥130,630",73人,"¥1,789","¥69,000","¥5,904",,,,"¥5,904",,,,
2023/10/14,土,雨/曇り,14℃,22℃,"¥58,410",40人,"¥1,460.25","¥18,310","¥164,080",65人,"¥2,524.31","¥57,920","¥222,490",105人,"¥2,119","¥76,230",,,,,¥0,,,,
2023/10/15,日,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/10/16,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/10/17,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/10/18,水,曇り/晴,13℃,26℃,"¥32,620",22人,"¥1,482.73","¥21,550","¥84,840",52人,"¥1,631.54","¥29,320","¥117,460",74人,"¥1,587","¥50,870",,,,,¥0,,,,
2023/10/19,木,晴,15℃,26℃,"¥18,060",14人,"¥1,290.00","¥7,480","¥70,030",32人,"¥2,188.44","¥49,660","¥88,090",46人,"¥1,915","¥57,140","¥36,802","¥1,861",,,"¥38,663",,,,
2023/10/20,金,雨/曇り,15℃,25℃,"¥24,750",20人,"¥1,237.50","¥15,060","¥102,770",59人,"¥1,741.86","¥59,580","¥127,520",79人,"¥1,614","¥74,640",,,,,¥0,,,,
2023/10/21,土,曇り/晴,12℃,19℃,"¥61,220",39人,"¥1,569.74","¥25,110","¥122,970",72人,"¥1,707.92","¥39,290","¥184,190",111人,"¥1,659","¥64,400",¥200,,,,¥200,,,,
2023/10/22,日,晴/曇り,9℃,20℃,"¥72,560",58人,"¥1,251.03","¥40,140","¥92,330",46人,"¥2,007.17","¥52,910","¥164,890",104人,"¥1,585","¥93,050",,,,,¥0,,,,
2023/10/23,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/10/24,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/10/25,水,晴,13℃,24℃,"¥25,420",18人,"¥1,412.22","¥5,040","¥90,660",54人,"¥1,678.89","¥88,010","¥116,080",72人,"¥1,612","¥93,050",,,,,¥0,,,,
2023/10/26,木,晴,13℃,23℃,"¥21,820",16人,"¥1,363.75","¥9,150","¥85,660",42人,"¥2,039.52","¥60,300","¥107,480",58人,"¥1,853","¥69,450","¥40,831",,,,"¥40,831",,,,
2023/10/27,金,雨/曇り,12℃,24℃,"¥33,180",26人,"¥1,276.15","¥13,370","¥127,880",78人,"¥1,639.49","¥57,510","¥161,060",104人,"¥1,549","¥70,880",¥788,,,,¥788,,,,
2023/10/28,土,晴,11℃,21℃,"¥38,680",22人,"¥1,758.18","¥38,680","¥94,860",55人,"¥1,724.73","¥36,640","¥133,540",77人,"¥1,734","¥75,320",,,,,¥0,,,,
2023/10/29,日,晴,11℃,20℃,"¥88,610",65人,"¥1,363.23","¥61,670","¥85,470",41人,"¥2,084.63","¥47,220","¥174,080",106人,"¥1,642","¥108,890",,,,,¥0,,,,
2023/10/30,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/10/31,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
