日付,曜日,天気,最低気温,最高気温,売上(昼),客数(昼),客単価(昼),クレジット(昼),売上(夜),客数(夜),客単価(夜),クレジット(夜),1日総売上,1日総客数,1日客単価,1日クレジット,仕入れ食材計,仕入れ消耗品計,仕入れ交通費計,仕入れその他計,仕入れ合計,,,,
2023/8/1,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/8/2,水,晴,26℃,36℃,"¥12,900",10人,"¥1,290.00","¥3,720","¥78,360",49人,"¥1,599.18","¥31,830","¥91,260",59人,"¥1,547","¥35,550","¥6,600",,,,"¥6,600",,,,
2023/8/3,木,晴,26℃,35℃,"¥24,780",20人,"¥1,239.00","¥12,150","¥26,940",19人,"¥1,417.89","¥10,490","¥51,720",39人,"¥1,326","¥22,640",,,,,¥0,,,,
2023/8/4,金,晴,28℃,34℃,"¥29,480",24人,"¥1,228.33","¥16,590","¥92,040",46人,"¥2,000.87","¥46,470","¥121,520",70人,"¥1,736","¥63,060","¥21,558",,,,"¥21,558",,,,
2023/8/5,土,晴,27℃,36℃,"¥40,800",30人,"¥1,360.00","¥25,700","¥116,590",60人,"¥1,943.17","¥73,980","¥157,390",90人,"¥1,749","¥99,680","¥3,477",,,,"¥3,477",,,,
2023/8/6,日,晴,27℃,36℃,"¥71,760",42人,"¥1,708.57","¥42,040","¥48,720",38人,"¥1,282.11","¥26,110","¥120,480",80人,"¥1,506","¥68,150",¥585,,,,¥585,,,,
2023/8/7,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/8/8,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/8/9,水,曇り,28℃,36℃,"¥31,640",26人,"¥1,216.92","¥10,110","¥79,680",46人,"¥1,732.17","¥49,590","¥111,320",72人,"¥1,546","¥59,700","¥4,576",,,,"¥4,576",,,,
2023/8/10,木,晴,29℃,36℃,"¥29,890",21人,"¥1,423.33","¥16,770","¥64,250",40人,"¥1,606.25","¥27,440","¥94,140",61人,"¥1,543","¥44,210","¥2,003",,,,"¥2,003",,,,
2023/8/11,金,晴,26℃,35℃,"¥45,750",32人,"¥1,429.69","¥16,480","¥94,440",44人,"¥2,146.36","¥60,580","¥140,190",76人,"¥1,845","¥77,060",,,,,¥0,,,,
2023/8/12,土,晴,26℃,36℃,"¥37,440",28人,"¥1,337.14","¥24,740","¥33,150",21人,"¥1,578.57","¥20,090","¥70,590",49人,"¥1,441","¥44,830",,,,,¥0,,,,
2023/8/13,日,晴/雨,27℃,39℃,"¥53,460",40人,"¥1,336.50","¥27,540","¥78,030",41人,"¥1,903.17","¥43,710","¥131,490",81人,"¥1,623","¥71,250",,,,,¥0,,,,
2023/8/14,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/8/15,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/8/16,水,晴/曇り,27℃,34℃,"¥42,290",32人,"¥1,321.56","¥24,940","¥68,570",44人,"¥1,558.41","¥31,810","¥110,860",76人,"¥1,459","¥56,750",,,,,¥0,,,,
2023/8/17,木,曇り,27℃,30℃,"¥49,920",36人,"¥1,386.67","¥13,040","¥58,740",41人,"¥1,432.68","¥29,070","¥108,660",77人,"¥1,411","¥42,110",¥214,,,,¥214,,,,
2023/8/18,金,曇り,25℃,33℃,"¥12,430",8人,"¥1,553.75","¥7,810","¥58,230",33人,"¥1,764.55","¥22,480","¥70,660",41人,"¥1,723","¥30,290","¥6,600",,,,"¥6,600",,,,
