日付,曜日,天気,最低気温,最高気温,売上(昼),客数(昼),客単価(昼),クレジット(昼),売上(夜),客数(夜),客単価(夜),クレジット(夜),1日総売上,1日総客数,1日客単価,1日クレジット,仕入れ食材計,仕入れ消耗品計,仕入れ交通費計,仕入れその他計,仕入れ合計,,,,
2023/6/1,木,雨/曇り,14℃,26℃,"¥38,300",29人,"¥1,320.69","¥18,760","¥29,270",21人,"¥1,393.81","¥15,960","¥67,570",50人,"¥1,351","¥34,720","¥23,386",,,,"¥23,386",,,,
2023/6/2,金,曇り/雨,20℃,22℃,"¥12,230",9人,"¥1,358.89","¥2,090","¥56,970",36人,"¥1,582.50","¥13,810","¥69,200",45人,"¥1,538","¥15,900",,"¥8,958",,,"¥8,958",,,,
2023/6/3,土,晴,19℃,25℃,"¥26,830",20人,"¥1,341.50","¥17,530","¥78,030",46人,"¥1,696.30","¥25,300","¥104,860",66人,"¥1,589","¥42,830","¥6,600",,,,"¥6,600",,,,
2023/6/4,日,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/6/5,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/6/6,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/6/7,水,晴,18℃,26℃,"¥22,410",16人,"¥1,400.63","¥13,240","¥63,860",41人,"¥1,557.56","¥20,020","¥86,270",57人,"¥1,514","¥33,260",,,,,¥0,,,,
2023/6/8,木,雨/曇り,18℃,25℃,"¥33,640",24人,"¥1,401.67","¥15,510","¥50,620",27人,"¥1,874.81","¥41,700","¥84,260",51人,"¥1,652","¥57,210",,¥440,,,¥440,,,,
2023/6/9,金,曇り,18℃,20℃,"¥36,210",28人,"¥1,293.21",,"¥119,710",52人,"¥2,302.12",¥0,"¥155,920",80人,"¥1,949","¥91,440",,,,,¥0,,,,
2023/6/10,土,曇り,18℃,20℃,"¥42,250",34人,"¥1,242.65",,"¥93,820",61人,"¥1,538.03","¥89,090","¥136,070",95人,"¥1,432","¥89,090","¥22,379",,,,"¥22,379",,,,
2023/6/11,日,雨/曇り,20℃,25℃,"¥52,930",38人,"¥1,392.89","¥32,260","¥79,000",57人,"¥1,385.96","¥22,200","¥131,930",95人,"¥1,389","¥54,460",¥450,,,,¥450,,,,
2023/6/12,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/6/13,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/6/14,水,雨/曇り,22℃,27℃,"¥32,340",27人,"¥1,197.78","¥20,630","¥65,820",43人,"¥1,530.70","¥26,290","¥98,160",70人,"¥1,402","¥46,920",,,,"¥4,180","¥4,180",,,,
2023/6/15,木,曇り/雨,22℃,27℃,"¥22,860",15人,"¥1,524.00","¥10,350","¥66,620",36人,"¥1,850.56","¥37,720","¥89,480",51人,"¥1,755","¥48,070","¥16,700",,,,"¥16,700",,,,
2023/6/16,金,晴,19℃,27℃,"¥41,320",30人,"¥1,377.33","¥16,980","¥107,590",42人,"¥2,561.67","¥77,650","¥148,910",72人,"¥2,068","¥94,630",,¥770,,,¥770,,,,
2023/6/17,土,晴,21℃,30℃,"¥35,880",27人,"¥1,328.89","¥17,350","¥89,530",54人,"¥1,657.96","¥60,420","¥125,410",81人,"¥1,548","¥77,770","¥6,600",,,,"¥6,600",,,,
2023/6/18,日,曇り,20℃,29℃,"¥47,380",32人,"¥1,480.63","¥23,320","¥55,080",31人,"¥1,776.77","¥33,470","¥102,460",63人,"¥1,626","¥56,790",,,,,¥0,,,,
2023/6/19,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/6/20,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/6/21,水,曇り,25℃,28℃,"¥28,720",22人,"¥1,305.45","¥13,680","¥35,460",23人,"¥1,541.74","¥20,980","¥64,180",45人,"¥1,426","¥34,660",,,,,¥0,,,,
2023/6/22,木,晴/雨,18℃,24℃,"¥20,380",13人,"¥1,567.69","¥12,680","¥67,350",33人,"¥2,040.91","¥32,130","¥87,730",46人,"¥1,907","¥44,810",,,,,¥0,,,,
2023/6/23,金,曇り,19℃,27℃,"¥15,310",12人,"¥1,275.83","¥8,120","¥105,060",63人,"¥1,667.62","¥39,810","¥120,370",75人,"¥1,605","¥47,930","¥1,477","¥1,408",,,"¥2,885",,,,
2023/6/24,土,曇り,22℃,30℃,"¥54,380",42人,"¥1,294.76","¥21,040","¥93,210",52人,"¥1,792.50","¥56,570","¥147,590",94人,"¥1,570","¥77,610",¥42,,,,¥42,,,,
2023/6/25,日,曇り,21℃,30℃,"¥52,140",41人,"¥1,271.71","¥24,410","¥82,940",47人,"¥1,764.68","¥66,350","¥135,080",88人,"¥1,535","¥90,760",,,,"¥5,000","¥5,000",,,,
2023/6/26,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/6/27,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/6/28,水,晴,22℃,30℃,"¥34,270",25人,"¥1,370.80","¥13,460","¥63,810",39人,"¥1,636.15","¥23,100","¥98,080",64人,"¥1,533","¥36,560","¥13,032",,,"¥2,420","¥15,452",,,,
2023/6/29,木,晴/曇り,24℃,32℃,"¥20,000",16人,"¥1,250.00","¥13,540","¥89,910",60人,"¥1,498.50","¥38,210","¥109,910",76人,"¥1,446","¥51,750",,,,,¥0,,,,
2023/6/30,金,曇り/雨,25℃,28℃,"¥21,870",18人,"¥1,215.00","¥9,800","¥99,820",66人,"¥1,512.42","¥35,700","¥121,690",84人,"¥1,449","¥45,500",,,,,¥0,,,,
