日付,曜日,天気,最低気温,最高気温,売上(昼),客数(昼),客単価(昼),クレジット(昼),売上(夜),客数(夜),客単価(夜),クレジット(夜),1日総売上,1日総客数,1日客単価,1日クレジット,仕入れ食材計,仕入れ消耗品計,仕入れ交通費計,仕入れその他計,仕入れ合計,,,,,,,
2024/7/1,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,,
2024/7/2,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,,
2024/7/3,水,晴,24℃,33℃,"¥72,730",18人,"¥1,955.00","¥57,220","¥71,870",44人,"¥1,633.41","¥48,590","¥144,600",62人,"¥2,332","¥105,810",,,,,¥0,,,,,,,
2024/7/4,木,晴,26℃,33℃,"¥47,200",28人,"¥1,685.71","¥20,060","¥56,960",38人,"¥1,498.95","¥33,650","¥104,160",66人,"¥1,578","¥53,710",¥473,,,,¥473,,,,,,,
2024/7/5,金,晴,26℃,34℃,"¥36,030",21人,"¥1,715.71","¥18,750","¥102,570",49人,"¥2,093.27","¥71,630","¥138,600",70人,"¥1,980","¥90,380","¥1,620",¥440,,,"¥2,060",,,,,,,
2024/7/6,土,晴,27℃,35℃,"¥59,280",37人,¥1.26,"¥34,100","¥123,930",72人,"¥1,721.25","¥67,690","¥183,210",109人,"¥1,681","¥101,790",,,,,¥0,,,,,,,
2024/7/7,日,晴,27℃,36℃,"¥72,300",47人,"¥1,538.30","¥35,650","¥122,310",63人,"¥1,941.43","¥92,010","¥194,610",110人,"¥1,769","¥127,660","¥9,060",,,,"¥9,060",,,,,,,
2024/7/8,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,,
2024/7/9,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,,
2024/7/10,水,晴/雨,25℃,32℃,"¥50,970",39人,"¥1,306.92","¥24,200","¥56,400",29人,"¥1,944.83","¥19,400","¥107,370",68人,"¥1,579","¥43,600","¥14,892",,,"¥4,576","¥19,468",,,,,,,
2024/7/11,木,雨,23℃,27℃,"¥30,090",22人,"¥1,367.73","¥12,490","¥78,780",46人,"¥1,712.61","¥54,640","¥108,870",68人,"¥1,601","¥67,130","¥15,300","¥1,653",,,"¥16,953",,,,,,,
2024/7/12,金,雨/曇り,27℃,32℃,"¥32,470",20人,"¥1,623.50","¥16,130","¥144,610",70人,"¥2,065.86","¥84,640","¥177,080",90人,"¥1,968","¥100,770",¥457,,,,¥457,,,,,,,
2024/7/13,土,曇り/雨,23℃,29℃,"¥45,660",30人,"¥1,522.00","¥23,270","¥141,770",80人,"¥1,772.13","¥82,350","¥187,430",110人,"¥1,704","¥105,620",,,,,¥0,,,,,,,
2024/7/14,日,雨,24℃,29℃,"¥75,630",65人,"¥1,163.54","¥46,280","¥173,990",77人,"¥2,259.61","¥76,930","¥249,620",142人,"¥1,758","¥123,210",,,,,¥0,,,,,,,
2024/7/15,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,,
2024/7/16,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,,
2024/7/17,水,晴,25℃,34℃,"¥47,510",35人,"¥1,357.43","¥31,870","¥58,310",36人,"¥1,619.72","¥32,070","¥105,820",71人,"¥1,490","¥63,940",,,,,¥0,,,,,,,
2024/7/18,木,曇り,24℃,34℃,"¥28,380",17人,"¥1,669.41","¥16,830","¥64,680",40人,"¥1,617.00","¥30,890","¥93,060",57人,"¥1,633","¥47,720",,,,,¥0,,,,,,,
2024/7/19,金,晴,25℃,34℃,"¥61,740",40人,"¥1,543.50","¥14,980","¥137,400",64人,"¥2,146.88","¥97,320","¥199,140",104人,"¥1,915","¥112,300","¥28,920",,,,"¥28,920",,,,,,,
2024/7/20,土,晴,28℃,34℃,"¥59,000",49人,"¥1,204.08","¥38,180","¥144,960",72人,"¥2,013.33","¥102,540","¥203,960",121人,"¥1,686","¥140,720","¥25,741",,,,"¥25,741",,,,,,,
2024/7/21,日,晴,26℃,36℃,"¥79,120",51人,"¥1,551.37","¥45,490","¥166,700",75人,"¥2,222.67","¥83,630","¥245,820",126人,"¥1,951","¥129,120",,,,,¥0,,,,,,,
2024/7/22,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,,
2024/7/23,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,,
2024/7/24,水,晴,28℃,35℃,"¥32,370",25人,"¥1,294.80","¥8,380","¥148,140",60人,"¥2,469.00","¥78,770","¥180,510",85人,"¥2,124","¥87,150","¥6,600",,,,"¥6,600",,,,,,,
2024/7/25,木,晴,26℃,33℃,"¥40,940",28人,"¥1,462.14","¥17,320","¥82,570",45人,"¥1,834.89","¥43,830","¥123,510",73人,"¥1,692","¥61,150",,"¥5,566",,,"¥5,566",,,,,,,
2024/7/26,金,晴,28℃,36℃,"¥37,310",28人,"¥1,332.50","¥23,340","¥117,150",45人,"¥2,603.33","¥64,250","¥154,460",73人,"¥2,116","¥87,590","¥17,843",,,¥84,"¥17,927",,,,,,,
2024/7/27,土,晴,28℃,35℃,"¥66,400",43人,"¥1,544.19","¥35,750","¥104,880",70人,"¥1,498.29","¥50,990","¥171,280",113人,"¥1,516","¥86,740","¥8,661",,,,"¥8,661",,,,,,,
2024/7/28,日,晴,27℃,35℃,"¥79,280",62人,"¥1,278.71","¥54,380","¥69,330",37人,"¥1,873.78","¥24,280","¥148,610",99人,"¥1,501","¥78,660",,,,,¥0,,,,,,,
2024/7/29,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,,
2024/7/30,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,,
2024/7/31,水,,,,"¥70,720",44人,"¥1,607.27","¥31,570","¥111,680",46人,"¥2,427.83","¥64,230","¥182,400",90人,"¥2,027","¥95,800","¥21,200",,,,"¥21,200",,,,,,,
