日付,曜日,天気,最低気温,最高気温,売上(昼),客数(昼),客単価(昼),クレジット(昼),売上(夜),客数(夜),客単価(夜),クレジット(夜),1日総売上,1日総客数,1日客単価,1日クレジット,仕入れ食材計,仕入れ消耗品計,仕入れ交通費計,仕入れその他計,仕入れ合計,,,,,,,
2024/2/1,木,曇り,4℃,12℃,"¥33,670",32人,"¥1,052.19","¥17,610","¥28,390",20人,"¥1,419.50","¥13,030","¥62,060",52人,"¥1,193","¥30,640","¥23,080",,,,"¥23,080",,,,,,,
2024/2/2,金,曇り/晴,2℃,8℃,"¥27,020",26人,"¥1,039.23","¥12,860","¥120,530",49人,"¥2,459.80","¥65,680","¥147,550",75人,"¥1,967","¥78,540",¥900,,,,¥900,,,,,,,
2024/2/3,土,曇り,4℃,10℃,"¥52,830",65人,¥812.77,"¥33,220","¥111,770",50人,"¥2,235.40","¥70,070","¥164,600",115人,"¥1,431","¥103,290","¥32,750",,,,"¥32,750",,,,,,,
2024/2/4,日,曇り,3℃,10℃,"¥44,800",33人,"¥1,357.58","¥41,340","¥56,450",23人,"¥2,454.00","¥41,260","¥101,250",56人,"¥1,808","¥82,600","¥5,138",,,,"¥5,138",,,,,,,
2024/2/5,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,,
2024/2/6,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,,
2024/2/7,水,曇り/雨,0℃,10℃,"¥21,280",20人,"¥1,064.00","¥11,740","¥96,930",48人,"¥2,019.38","¥72,160","¥118,210",68人,"¥1,738","¥83,900","¥14,365",,,,"¥14,365",,,,,,,
2024/2/8,木,曇り,0℃,9℃,"¥26,970",31人,¥870.00,"¥14,780","¥75,280",38人,"¥1,981.05","¥36,300","¥102,250",69人,"¥1,482","¥51,080","¥11,764",,,,"¥11,764",,,,,,,
2024/2/9,金,晴,1℃,11℃,"¥40,800",46人,¥886.96,"¥25,890","¥107,850",57人,"¥1,892.11","¥65,280","¥148,650",103人,"¥1,443","¥91,170",,¥440,,,¥440,,,,,,,
2024/2/10,土,晴,3℃,11℃,"¥52,360",40人,"¥1,309.00","¥31,820","¥122,660",59人,"¥2,078.98","¥66,590","¥175,020",99人,"¥1,768","¥98,410","¥28,512",,,,"¥28,512",,,,,,,
2024/2/11,日,曇り/雨,1℃,9℃,"¥54,870",37人,"¥1,482.97","¥31,080","¥112,390",58人,"¥1,937.76","¥90,980","¥167,260",95人,"¥1,761","¥122,060",,,,,¥0,,,,,,,
2024/2/12,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,,
2024/2/13,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,,
2024/2/14,水,晴,4℃,19℃,"¥28,190",22人,"¥1,281.36","¥13,800","¥53,960",36人,"¥1,498.89","¥26,320","¥82,150",58人,"¥1,416","¥40,120",,,,,¥0,,,,,,,
2024/2/15,木,雨,10℃,18℃,"¥61,470",41人,"¥1,499.27","¥38,690","¥99,210",52人,"¥1,907.88","¥43,090","¥160,680",93人,"¥1,728","¥81,780","¥26,578",¥110,,,"¥26,688",,,,,,,
2024/2/16,金,晴,3℃,12℃,"¥54,240",33人,"¥1,643.64","¥31,640","¥122,710",49人,"¥2,504.29","¥81,840","¥176,950",82人,"¥2,158","¥113,480","¥4,785","¥6,532",,,"¥11,317",,,,,,,
2024/2/17,土,曇り,10℃,15℃,"¥142,070",43人,"¥3,303.95","¥47,670","¥104,570",48人,"¥2,178.54","¥1,203,980","¥246,640",91人,"¥2,710","¥1,251,650",,,,,¥0,,,,,,,
2024/2/18,日,曇り,11℃,19℃,"¥99,710",65人,"¥1,534.00","¥53,500","¥59,810",33人,"¥1,812.42","¥41,540","¥159,520",98人,"¥1,628","¥95,040","¥4,372",,,,"¥4,372",,,,,,,
