日付,曜日,天気,最低気温,最高気温,売上(昼),客数(昼),客単価(昼),クレジット(昼),売上(夜),客数(夜),客単価(夜),クレジット(夜),1日総売上,1日総客数,1日客単価,1日クレジット,仕入れ食材計,仕入れ消耗品計,仕入れ交通費計,仕入れその他計,仕入れ合計,,,,,,
2023/12/1,金,晴,2℃,12℃,"¥24,600",19人,"¥1,294.74","¥17,630","¥88,150",54人,"¥1,632.41","¥34,160","¥112,750",73人,"¥1,545","¥51,790",,,,,¥0,,,,,,
2023/12/2,土,晴,3℃,13℃,"¥61,580",44人,"¥1,399.55","¥37,170","¥184,970",59人,"¥3,135.08","¥39,710","¥246,550",103人,"¥2,394","¥76,880","¥6,600",¥440,,,"¥7,040",,,,,,
2023/12/3,日,晴,3℃,13℃,"¥22,800",34人,¥670.59,"¥29,520","¥101,990",51人,"¥1,999.80","¥47,010","¥124,790",85人,"¥1,468","¥76,530",,,,,¥0,,,,,,
2023/12/4,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,
2023/12/5,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,
2023/12/6,水,曇り,6℃,15℃,"¥45,420",41人,"¥1,107.80","¥10,900","¥140,400",70人,"¥2,005.71","¥82,040","¥185,820",111人,"¥1,674","¥92,940","¥105,490",,,,"¥105,490",,,,,,
2023/12/7,木,曇り,6℃,16℃,"¥24,940",19人,"¥1,312.63","¥17,520","¥86,130",36人,"¥2,392.50","¥51,660","¥111,070",55人,"¥2,019","¥69,180",,,,,¥0,,,,,,
2023/12/8,金,晴,3℃,16℃,"¥45,780",29人,"¥1,578.62","¥27,040","¥188,420",77人,"¥2,447.01","¥105,400","¥234,200",106人,"¥2,209","¥132,440","¥10,810",,,,"¥10,810",,,,,,
2023/12/9,土,晴/曇り,7℃,19℃,"¥45,550",36人,"¥1,265.28","¥34,690","¥94,520",58人,"¥1,629.66","¥49,140","¥140,070",94人,"¥1,490","¥83,830","¥26,313","¥1,540",,,"¥27,853",,,,,,
2023/12/10,日,晴,12℃,20℃,"¥56,170",38人,"¥1,478.16","¥21,600","¥125,680",64人,"¥1,963.75","¥97,470","¥181,850",102人,"¥1,783","¥119,070","¥19,200",,,,"¥19,200",,,,,,
2023/12/11,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,
2023/12/12,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,
2023/12/13,水,晴,6℃,15℃,"¥35,140",21人,"¥1,673.33","¥13,040","¥121,940",71人,"¥1,717.46","¥56,499","¥157,080",92人,"¥1,707","¥69,539","¥16,681",,,,"¥16,681",,,,,,
2023/12/14,木,雨,7℃,12℃,"¥39,340",27人,"¥1,457.04","¥18,230","¥93,750",43人,"¥2,180.23","¥56,030","¥133,090",70人,"¥1,901","¥74,260","¥3,844",,,,"¥3,844",,,,,,
2023/12/15,金,雨/曇り,10℃,21℃,"¥20,470",18人,"¥1,137.22","¥14,190","¥133,080",51人,"¥2,609.41","¥70,060","¥153,550",69人,"¥2,225","¥84,250",,"¥1,300",,,"¥1,300",,,,,,
2023/12/16,土,雨/曇り,9℃,20℃,"¥45,770",31人,"¥1,476.45","¥29,610","¥143,590",67人,"¥2,143.13","¥114,330","¥189,360",98人,"¥1,932","¥143,940","¥30,639","¥8,136",,,"¥38,775",,,,,,
2023/12/17,日,晴,2℃,10℃,"¥64,960",53人,"¥1,225.66","¥37,690","¥90,230",58人,"¥1,555.69","-¥36,292","¥155,190",111人,"¥1,398","¥1,398","¥2,630",,,,"¥2,630",,,,,,
2023/12/18,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,
2023/12/19,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,
2023/12/20,水,晴,2℃,12℃,"¥35,820",21人,"¥1,705.71","¥14,400","¥88,860",46人,"¥1,931.74","¥38,210","¥124,680",67人,"¥1,861","¥52,610",,,,,¥0,,,,,,
2023/12/21,木,晴,1℃,7℃,"¥19,870",17人,"¥1,168.82","¥7,220","¥50,990",28人,"¥1,821.07","¥15,600","¥70,860",45人,"¥1,575","¥22,820",,"¥4,476",,,"¥4,476",,,,,,
2023/12/22,金,晴,1℃,5℃,"¥39,300",32人,"¥1,228.13","¥14,850","¥114,190",61人,"¥1,871.97","¥53,140","¥153,490",93人,"¥1,650","¥67,990","¥10,440",,,¥650,"¥11,090",,,,,,
2023/12/23,土,晴,-2℃,9℃,"¥54,980",40人,"¥1,374.50","¥28,340","¥71,180",35人,"¥2,033.71","¥52,350","¥126,160",75人,"¥1,682","¥80,690","¥16,179",,,,"¥16,179",,,,,,
2023/12/24,日,晴,0℃,10℃,"¥51,180",36人,"¥1,421.67","¥29,850","¥71,760",30人,"¥2,392.00","¥63,580","¥122,940",66人,"¥1,863","¥93,430",,,,,¥0,,,,,,
2023/12/25,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,
2023/12/26,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,,,
2023/12/27,水,晴,4℃,13℃,"¥36,240",29人,"¥1,249.66","¥19,370","¥179,810",51人,"¥3,525.69","-¥19,370","¥216,050",80人,"¥2,701",,"¥4,410",,,,"¥4,410",,,,,,
2023/12/28,木,晴,2℃,14℃,"¥41,170",30人,"¥1,372.33","¥27,250","¥69,250",33人,"¥2,098.48","¥32,630","¥110,420",63人,"¥1,753","¥59,880","¥22,650",,,,"¥22,650",,,,,,
2023/12/29,金,晴,4℃,13℃,"¥48,540",39人,"¥1,244.62","¥22,910","¥159,730",64人,"¥2,495.78","¥121,240","¥208,270",103人,"¥2,022","¥144,150","¥4,466","¥2,832",,,"¥7,298",,,,,,
2023/12/30,土,晴,1℃,14℃,"¥86,200",46人,"¥1,873.91","¥31,740","¥210,420",73人,"¥2,882.47","¥152,070","¥296,620",119人,"¥2,493","¥183,810",,,,,¥0,,,,,,
2023/12/31,日,曇り,9℃,14℃,"¥102,600",68人,"¥1,508.82","¥52,390",¥0,0人,¥0.00,¥0,"¥102,600",68人,"¥1,509","¥52,390",,,,,¥0,,,,,,
