日付,曜日,天気,最低気温,最高気温,売上(昼),客数(昼),客単価(昼),クレジット(昼),売上(夜),客数(夜),客単価(夜),クレジット(夜),1日総売上,1日総客数,1日客単価,1日クレジット,食材（現金）,その他現金計,食材（カード）,食材（請求書）,通販食材（納品書）,飲料（現金/請求書）,仕入れ合計,,,,,,,
2024/9/11,水,晴,26℃,34℃,"¥58,080",34人,"¥1,708.24","¥27,250","¥100,620",60人,"¥1,677.00","¥61,790","¥158,700",94人,"¥1,688","¥89,040","¥26,339",,"¥12,573",,,,"¥38,912",,,,,,,
2024/9/12,木,晴/雨,26℃,36℃,"¥49,790",33人,"¥1,508.79","¥30,580","¥112,560",67人,"¥1,680.00","¥53,360","¥162,350",100人,"¥1,624","¥83,940",,,"¥24,055",,,,"¥24,055",,,,,,,
2024/9/13,金,晴,26℃,34℃,"¥32,930",22人,"¥1,496.82","¥21,280","¥147,960",70人,"¥2,113.71","¥82,430","¥180,890",92人,"¥1,966","¥103,710","¥4,860","¥1,000","¥9,221",,,,"¥15,081",,,,,,,
2024/9/14,土,晴,26℃,36℃,"¥102,520",65人,"¥1,577.23","¥58,450","¥135,200",70人,"¥1,931.43","¥100,590","¥237,720",135人,"¥1,761","¥159,040",¥814,,"¥10,661",,,,"¥11,475",,,,,,,
2024/9/15,日,晴,27℃,32℃,"¥65,410",46人,"¥1,421.96","¥44,190","¥100,890",52人,"¥1,940.19","¥57,510","¥166,300",98人,"¥1,697","¥101,700",,,,,,,¥0,,,,,,,
2024/9/16,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,,,¥0,,,,,,,
2024/9/17,火,晴,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,"¥8,000",,"¥15,578",,,,"¥23,578",,,,,,,
2024/9/18,水,晴,26℃,37℃,"¥60,870",37人,"¥1,645.14","¥29,010","¥96,270",57人,"¥1,688.95","¥48,630","¥157,140",94人,"¥1,672","¥77,640","¥4,950",,"¥13,820",,,,"¥18,770",,,,,,,
2024/9/19,木,晴,27℃,34℃,"¥34,739",26人,"¥1,336.12","¥24,550","¥89,111",50人,"¥1,782.22","¥53,140","¥123,850",76人,"¥1,630","¥77,690","¥17,134",¥110,"¥8,223",,,,"¥25,467",,,,,,,
2024/9/20,金,晴,27℃,34℃,"¥39,130",22人,"¥1,778.64","¥14,760","¥102,940",64人,"¥1,608.44","-¥6,560","¥142,070",86人,"¥1,652","¥8,200","¥9,789",¥990,"¥13,880",,,,"¥24,659",,,,,,,
2024/9/21,土,曇り,28℃,32℃,"¥70,820",50人,"¥1,416.40","¥49,320","¥187,550",90人,"¥2,083.89","¥77,250","¥258,370",140人,"¥1,846","¥126,570","¥18,363",,"¥4,584",,,,"¥22,947",,,,,,,
2024/9/22,日,曇り,22℃,28℃,"¥48,270",35人,"¥1,379.14","¥37,220","¥174,040",88人,"¥1,977.73","¥116,180","¥222,310",123人,"¥1,807","¥153,400","¥16,825",,,,,,"¥16,825",,,,,,,
2024/9/23,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,"¥29,313",,,,"¥29,313",,,,,,,
2024/9/24,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,,,¥0,,,,,,,
2024/9/25,水,晴,22℃,30℃,"¥61,890",34人,"¥1,820.29","¥28,270","¥70,130",43人,"¥1,630.93","¥42,000","¥132,020",77人,"¥1,715","¥70,270","¥9,864",,"¥11,998",,,,"¥21,862",,,,,,,
2024/9/26,木,晴/曇り,21℃,32℃,"¥56,560",33人,"¥1,713.94","¥34,050","¥84,530",42人,"¥2,012.62","¥59,470","¥141,090",75人,"¥1,881","¥93,520","¥44,521",,"¥18,697",,,,"¥63,218",,,,,,,
2024/9/27,金,晴/曇り,24℃,31℃,"¥24,330",15人,"¥1,622.00","¥10,620","¥106,140",53人,"¥2,002.64","¥71,790","¥130,470",68人,"¥1,919","¥82,410",¥397,"¥1,100",,,,,"¥1,497",,,,,,,
2024/9/28,土,晴,24℃,29℃,"¥31,450",18人,"¥1,747.22","¥20,740","¥147,170",69人,"¥2,132.90","¥90,360","¥178,620",87人,"¥2,053","¥111,100","¥4,334",,,,,,"¥4,334",,,,,,,
2024/9/29,日,曇り,23℃,29℃,"¥115,370",74人,"¥1,559.05","¥95,490","¥110,610",86人,"¥1,286.16","¥49,400","¥225,980",160人,"¥1,412","¥144,890",¥0,,,,,,¥0,,,,,,,
2024/9/30,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,,,¥0,,,,,,,
,土,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,,,¥0,,,,,,,
