日付,曜日,天気,最低気温,最高気温,売上(昼),客数(昼),客単価(昼),クレジット(昼),売上(夜),客数(夜),客単価(夜),クレジット(夜),1日総売上,1日総客数,1日客単価,1日クレジット,仕入れ食材計,仕入れ消耗品計,仕入れ交通費計,仕入れその他計,仕入れ合計,,,,
2023/4/1,土,晴,8℃,25℃,"¥37,310",29人,"¥1,286.55","¥13,640","¥112,780",38人,"¥2,967.89","¥73,350","¥150,090",67人,"¥2,240","¥86,990","¥10,035",,,,"¥10,035",,,,
2023/4/2,日,曇り,9℃,22℃,"¥58,900",43人,"¥1,369.77","¥38,930","¥79,670",59人,"¥1,350.34","¥44,180","¥138,570",102人,"¥1,359","¥83,110",¥0,,,,¥0,,,,
2023/4/3,月,,,,,,#DIV/0!,,,0人,#DIV/0!,,,,#DIV/0!,,,,,,¥0,,,,
2023/4/4,火,,,,,,#DIV/0!,,,0人,#DIV/0!,,,,#DIV/0!,,,,,,¥0,,,,
2023/4/5,水,曇り/雨,14℃,20℃,"¥31,520",22人,"¥1,432.73","¥6,540","¥50,180",38人,"¥1,320.53","¥29,560","¥81,700",60人,"¥1,362","¥36,100","¥27,648","¥4,180",,,"¥31,828",,,,
2023/4/6,木,曇り/雨,14℃,21℃,"¥50,050",40人,"¥1,251.25","¥13,550","¥44,900",34人,"¥1,320.59","¥21,240","¥94,950",74人,"¥1,283","¥34,790",¥896,,,,¥896,,,,
2023/4/7,金,雨,7℃,17℃,"¥39,810",24人,"¥1,658.75","¥14,790","¥166,260",76人,"¥2,187.63","¥106,740","¥206,070",100人,"¥2,061","¥121,530",,,,,¥0,,,,
2023/4/8,土,晴,9℃,15℃,"¥26,870",17人,"¥1,580.59","¥10,110","¥102,620",61人,"¥1,682.30","¥60,210","¥129,490",78人,"¥1,660","¥70,320","¥6,600",,,,"¥6,600",,,,
2023/4/9,日,晴,5℃,17℃,"¥49,640",44人,"¥1,128.18","¥32,460","¥80,880",41人,"¥1,972.68","¥36,030","¥130,520",85人,"¥1,536","¥68,490","¥13,860",,,,"¥13,860",,,,
2023/4/10,月,,,,,,#DIV/0!,,,0人,#DIV/0!,,,,#DIV/0!,,,,,,¥0,,,,
2023/4/11,火,,,,,,#DIV/0!,,,0人,#DIV/0!,,,,#DIV/0!,,,,,,¥0,,,,
2023/4/12,水,晴/雨,12℃,15℃,"¥12,520",9人,"¥1,391.11","¥4,420","¥83,780",59人,"¥1,420.00","¥36,130","¥96,300",68人,"¥1,416","¥40,730",¥618,,,,¥618,,,,
2023/4/13,木,晴,6℃,21℃,"¥28,570",20人,"¥1,428.50","¥7,240","¥91,940",66人,"¥1,393.00","¥40,690","¥120,510",86人,"¥1,401","¥47,930",,,,,¥0,,,,
2023/4/14,金,晴/雨,11℃,19℃,"¥11,030",9人,"¥1,225.56","¥2,210","¥63,680",33人,"¥1,929.70","¥29,850","¥74,710",42人,"¥1,779","¥32,060",¥0,,,,¥0,,,,
2023/4/15,土,雨,13℃,16℃,"¥39,020",28人,"¥1,393.57","¥22,300","¥119,240",71人,"¥1,679.44","¥71,740","¥158,260",99人,"¥1,599","¥94,040",,,,,¥0,,,,
2023/4/16,日,晴/雨,11℃,20℃,"¥64,640",45人,"¥1,436.44","¥18,750","¥82,580",50人,"¥1,651.60","¥46,010","¥147,220",95人,"¥1,550","¥64,760","¥7,485",,,,"¥7,485",,,,
2023/4/17,月,,,,,,#DIV/0!,,,0人,#DIV/0!,,,,#DIV/0!,,,,,,¥0,,,,
2023/4/18,火,,,,,,#DIV/0!,,,0人,#DIV/0!,,,,#DIV/0!,,,,,,¥0,,,,
2023/4/19,水,曇り,15℃,19℃,"¥14,550",10人,"¥1,455.00","¥9,330","¥89,290",40人,"¥2,232.25","¥65,940","¥103,840",50人,"¥2,077","¥75,270","¥1,832",,,"¥4,290","¥6,122",,,,
2023/4/20,木,晴,14℃,26℃,"¥28,490",20人,"¥1,424.50","¥7,810","¥53,070",36人,"¥1,474.17","¥30,180","¥81,560",56人,"¥1,456","¥37,990",,"¥2,570",,,"¥2,570",,,,
2023/4/21,金,晴,12℃,26℃,"¥18,420",14人,"¥1,315.71","¥9,120","¥129,040",62人,"¥2,081.29","¥64,860","¥147,460",76人,"¥1,940","¥73,980",,,,,¥0,,,,
2023/4/22,土,,11℃,19℃,"¥37,550",28人,"¥1,341.07","¥20,990","¥111,560",48人,"¥2,324.17","¥63,970","¥149,110",76人,"¥1,962","¥84,960","¥6,600",,,,"¥6,600",,,,
2023/4/23,日,晴,8℃,21℃,"¥36,330",25人,"¥1,453.20","¥24,190","¥65,680",37人,"¥1,775.14","¥29,850","¥102,010",62人,"¥1,645","¥54,040","¥16,214",,,,"¥16,214",,,,
2023/4/24,月,,,,,,#DIV/0!,,,0人,#DIV/0!,,,,#DIV/0!,,,,,,¥0,,,,
2023/4/25,火,,,,,,#DIV/0!,,,0人,#DIV/0!,,,,#DIV/0!,,,,,,¥0,,,,
2023/4/26,水,曇り,12℃,15℃,"¥21,180",16人,"¥1,323.75","¥16,410","¥68,990",27人,"¥2,555.19","¥29,700","¥90,170",43人,"¥2,097","¥46,110","¥4,564",,,,"¥4,564",,,,
2023/4/27,木,晴,8℃,21℃,"¥26,570",20人,"¥1,328.50","¥14,490","¥81,240",33人,"¥2,461.82","¥44,880","¥107,810",53人,"¥2,034","¥59,370",,¥110,,"¥5,500","¥5,610",,,,
2023/4/28,金,晴,10℃,22℃,"¥29,990",18人,"¥1,666.11","¥17,360","¥131,890",65人,"¥2,029.08","¥52,730","¥161,880",83人,"¥1,950","¥70,090","¥1,787",,,"¥1,787","¥3,574",,,,
2023/4/29,土,雨,16℃,24℃,"¥38,140",23人,"¥1,658.26","¥14,850","¥88,900",46人,"¥1,932.61","¥40,440","¥127,040",69人,"¥1,841","¥55,290",,"¥3,483",,,"¥3,483",,,,
2023/4/30,日,曇り,13℃,20℃,"¥61,600",40人,"¥1,540.00","¥32,170","¥82,750",44人,"¥1,880.68","¥43,090","¥144,350",84人,"¥1,718","¥75,260","¥17,820",,,,"¥17,820",,,,
