日付,曜日,天気,最低気温,最高気温,売上(昼),客数(昼),客単価(昼),クレジット(昼),売上(夜),客数(夜),客単価(夜),クレジット(夜),1日総売上,1日総客数,1日客単価,1日クレジット,食材（現金）,その他（現金）計,食材（カード）,食材（請求書）,通販食材（納品書）,飲料（現金/請求書）,仕入れ合計,,,,,,,
2024/10/5,土,晴,19℃,30℃,"¥92,930",57人,"¥1,630.35","¥56,580","¥163,610",81人,"¥2,019.00","¥162,070","¥256,540",138人,"¥1,859","¥162,070",,¥613,,,,,¥613,,,,,,,
2024/10/13,日,晴,17℃,28℃,"¥76,240",62人,"¥1,229.68","¥43,600","¥126,260",64人,"¥1,972.81","¥46,250","¥202,500",126人,"¥1,607","¥89,850","¥1,551",,,,,,"¥1,551",,,,,,,
2024/10/20,日,晴,13℃,22℃,"¥66,370",57人,"¥1,164.39","¥28,920","¥105,470",64人,"¥1,647.97","¥62,590","¥171,840",121人,"¥1,420","¥91,510","¥6,145",,,,,,"¥6,145",,,,,,,
2024/10/6,日,曇り,20℃,30℃,"¥95,230",74人,"¥1,286.89","¥52,160","¥137,990",76人,"¥1,815.66","¥87,520","¥233,220",150人,"¥1,555","¥139,680","¥15,550","¥1,210","¥3,633",,,,"¥20,393",,,,,,,
2024/10/24,木,曇り,18℃,24℃,"¥57,000",41人,"¥1,390.24","¥32,610","¥84,850",33人,"¥2,571.21","¥48,600","¥141,850",74人,"¥1,917","¥81,210","¥22,161",,"¥6,630",,,,"¥28,791",,,,,,,
2024/10/4,金,曇り/雨,21℃,24℃,"¥22,150",17人,"¥1,302.94","¥7,940","¥199,590",79人,"¥2,526.46","¥131,810","¥221,740",96人,"¥2,310","¥139,750","¥26,400",,,,,,"¥26,400",,,,,,,
2024/10/30,水,晴,12℃,24℃,"¥51,810",34人,"¥1,523.82","¥12,970","¥97,580",32人,"¥3,049.38","¥81,230","¥149,390",66人,"¥2,263","¥94,200","¥10,600","¥4,950","¥13,567",,,,"¥29,117",,,,,,,
2024/10/11,金,晴,15℃,26℃,"¥31,630",25人,"¥1,265.20","¥13,330","¥131,900",70人,"¥1,884.29","¥76,360","¥163,530",95人,"¥1,721","¥89,690","¥1,153",,"¥5,089",,,,"¥6,242",,,,,,,
2024/10/18,金,曇り,21℃,27℃,"¥25,390",18人,"¥1,410.56","¥11,430","¥129,250",64人,"¥2,019.53","¥72,930","¥154,640",82人,"¥1,886","¥84,360",,,"¥16,085",,,,"¥16,085",,,,,,,
2024/10/25,金,晴,16℃,25℃,"¥27,730",20人,"¥1,386.50","¥7,840","¥88,440",52人,"¥1,700.77","¥50,800","¥116,170",72人,"¥1,613","¥58,640",,,"¥12,316",,,,"¥12,316",,,,,,,
2024/10/31,木,晴,16℃,23℃,"¥57,280",33人,"¥1,735.76","¥14,920","¥117,830",63人,"¥1,870.32","¥77,030","¥175,110",96人,"¥1,824","¥91,950","¥9,789",,"¥14,115",,,,"¥23,904",,,,,,,
2024/10/12,土,晴,14℃,27℃,"¥82,740",66人,"¥1,253.00","¥36,350","¥97,960",49人,"¥1,999.18","¥64,240","¥180,700",115人,"¥1,571","¥100,590",,,"¥9,002",,,,"¥9,002",,,,,,,
2024/10/2,水,晴,23℃,31℃,"¥45,450",29人,"¥1,567.24","¥28,330","¥83,970",45人,"¥1,866.00","¥56,640","¥129,420",74人,"¥1,749","¥84,970","¥10,260","¥4,950","¥3,472",,,,"¥18,682",,,,,,,
2024/10/9,水,曇り,17℃,27℃,"¥36,750",22人,"¥1,670.45","¥14,960","¥101,590",54人,"¥1,881.30","¥62,530","¥138,340",76人,"¥1,820","¥77,490","¥1,618",,"¥5,441",,,,"¥7,059",,,,,,,
2024/10/16,水,曇り,20℃,27℃,"¥38,170",24人,"¥1,590.42","¥21,750","¥78,500",51人,"¥1,539.22",,"¥116,670",75人,"¥1,556","¥58,800",,"¥4,950","¥37,046",,,,"¥41,996",,,,,,,
2024/10/23,水,晴,17℃,25℃,"¥51,330",35人,"¥1,466.57","¥21,780","¥190,870",69人,"¥2,766.23","¥94,400","¥242,200",104人,"¥2,329","¥116,180","¥2,700","¥5,000","¥20,415","¥2,087",,,"¥30,202",,,,,,,
2024/10/10,木,晴,16℃,26℃,"¥41,280",26人,"¥1,587.69","¥28,800","¥69,040",36人,"¥1,917.78","¥30,540","¥110,320",62人,"¥1,779","¥59,340",¥170,,"¥9,000",,,,"¥9,170",,,,,,,
2024/10/17,木,晴,19℃,30℃,"¥44,710",28人,"¥1,596.00","¥28,280","¥64,210",33人,"¥1,945.00","¥40,300","¥108,920",61人,1785,"¥68,580",,,"¥2,900",,,,"¥2,900",,,,,,,
2024/10/19,土,雨,18℃,27℃,"¥47,530",29人,"¥1,638.97","¥18,850","¥70,850",54人,"¥1,312.04","¥22,210","¥118,380",83人,"¥1,426","¥41,060","¥33,118",,"¥5,226",,,,"¥38,344",,,,,,,
2024/10/3,木,曇り/雨,21℃,24℃,"¥25,320",17人,"¥1,489.41","¥13,010","¥75,440",44人,"¥1,714.55","-¥37,710","¥100,760",61人,"¥1,652","¥63,050","¥8,382",,"¥2,179",,,,"¥10,561",,,,,,,
2024/10/26,土,曇り,16℃,24℃,"¥76,160",58人,"¥1,313.10","¥41,650","¥138,550",77人,"¥1,799.35","¥102,720","¥214,710",135人,"¥1,590","¥144,370",,,"¥26,245",,,,"¥26,245",,,,,,,
2024/10/1,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,"¥19,036",,,,"¥19,036",,,,,,,
2024/10/7,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,,,¥0,,,,,,,
2024/10/8,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,"¥24,712",,"¥18,621",,,,"¥43,333",,,,,,,
2024/10/14,月,曇り,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,,,¥0,,,,,,,
