日付,曜日,天気,最低気温,最高気温,売上(昼),客数(昼),客単価(昼),クレジット(昼),売上(夜),客数(夜),客単価(夜),クレジット(夜),1日総売上,1日総客数,1日客単価,1日クレジット,仕入れ食材計,仕入れ消耗品計,仕入れ交通費計,仕入れその他計,仕入れ合計,,,,
2023/7/11,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/7/12,水,曇り,27℃,33℃,"¥25,740",17人,"¥1,514.12","¥11,690","¥47,050",31人,"¥1,517.74","¥28,120","¥72,790",48人,"¥1,516","¥39,810",,"¥4,576",,,"¥4,576",,,,
2023/7/13,木,曇り/雨,24℃,30℃,"¥41,690",30人,"¥1,389.67","¥21,490","¥48,740",31人,"¥1,572.26","-¥44,860","¥90,430",61人,"¥1,482","¥45,570",,,,,¥0,,,,
2023/7/14,金,晴,26℃,32℃,"¥29,140",21人,"¥1,387.62","¥18,530","¥78,870",47人,"¥1,678.09","¥36,190","¥108,010",68人,"¥1,588","¥54,720","¥18,806",,,,"¥18,806",,,,
2023/7/15,土,晴/曇り,27℃,35℃,"¥31,920",19人,"¥1,680.00","¥12,540","¥135,300",65人,"¥2,081.54","¥79,380","¥167,220",84人,"¥1,991","¥91,920","¥2,170","¥1,100",,,"¥3,270",,,,
2023/7/16,日,晴,28℃,34℃,"¥71,290",57人,"¥1,250.70","¥45,430","¥74,250",36人,"¥2,062.50","¥40,150","¥145,540",93人,"¥1,565","¥85,580","¥4,570",,,,"¥4,570",,,,
2023/7/17,月,雨,,,,,#DIV/0!,,,,,,,,#DIV/0!,,,,,,¥0,,,,
2023/7/18,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/7/19,水,雨,28℃,35℃,"¥24,530",18人,"¥1,362.78","¥15,680","¥88,640",45人,"¥1,969.78","¥42,890","¥113,170",63人,"¥1,796","¥58,570","¥7,050",,,,"¥7,050",,,,
2023/7/20,木,晴,23℃,33℃,"¥24,140",19人,"¥1,270.53","¥8,260","¥58,820",23人,"¥2,557.39","¥28,570","¥82,960",42人,"¥1,975","¥36,830","¥39,500",,,,"¥39,500",,,,
2023/7/21,金,晴,23℃,34℃,"¥29,510",23人,"¥1,283.04","¥14,500","¥99,960",52人,"¥1,922.31","¥63,390","¥129,470",75人,"¥1,726","¥77,890",,,,,¥0,,,,
2023/7/22,土,晴,24℃,35℃,"¥21,460",15人,"¥1,430.67","¥8,270","¥87,310",51人,"¥1,711.96","¥43,280","¥108,770",66人,"¥1,648","¥51,550","¥22,900",,,,"¥22,900",,,,
2023/7/23,日,晴,25℃,34℃,"¥55,340",40人,"¥1,383.50","¥25,780","¥65,320",41人,"¥1,593.17","¥25,390","¥120,660",81人,"¥1,490","¥51,170","¥4,850",,,,"¥4,850",,,,
2023/7/24,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/7/25,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/7/26,水,晴,26℃,36℃,"¥29,090",21人,"¥1,385.24","¥12,310","¥109,290",56人,"¥1,951.61","¥48,840","¥138,380",77人,"¥1,797","¥61,150",¥591,,,"¥4,576","¥5,167",,,,
2023/7/27,木,晴,27℃,39℃,"¥43,110",27人,"¥1,596.67","¥18,150","¥32,850",23人,"¥1,428.26","¥20,940","¥75,960",50人,"¥1,519","¥39,090","¥14,570",¥330,,,"¥14,900",,,,
2023/7/28,金,晴,28℃,37℃,"¥35,510",26人,"¥1,365.77","¥17,250","¥133,220",56人,"¥2,378.93","¥44,980","¥168,730",82人,"¥2,058","¥62,230",,,,,¥0,,,,
2023/7/29,土,晴,27℃,35℃,"¥31,100",23人,"¥1,352.17","¥12,050","¥96,880",61人,"¥1,588.20","¥47,780","¥127,980",84人,"¥1,524","¥59,830",,,,,¥0,,,,
2023/7/30,日,晴,26℃,36℃,"¥37,330",30人,"¥1,244.33","¥17,090","¥98,490",47人,"¥2,095.53","¥30,150","¥135,820",77人,"¥1,764","¥47,240","¥5,600",,,,"¥5,600",,,,
2023/7/31,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
