日付,曜日,天気,最低気温,最高気温,売上(昼),客数(昼),客単価(昼),クレジット(昼),売上(夜),客数(夜),客単価(夜),クレジット(夜),1日総売上,1日総客数,1日客単価,1日クレジット,仕入れ食材計,仕入れ消耗品計,仕入れ交通費計,仕入れその他計,仕入れ合計,,,,
2023/7/1,土,雨,22℃,25℃,"¥49,000",39人,"¥1,256.41","¥25,350","¥147,640",62人,"¥2,381.29","¥78,850","¥196,640",101人,"¥1,947","¥104,200",¥235,,,,¥235,,,,
2023/7/2,日,曇り,23℃,31℃,"¥57,110",42人,"¥1,359.76","¥28,570","¥113,370",57人,"¥1,988.95","¥39,740","¥170,480",99人,"¥1,722","¥68,310",,,,,¥0,,,,
2023/7/3,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/7/4,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/7/5,水,雨,20℃,25℃,"¥21,930",15人,"¥1,462.00","¥6,220","¥27,290",18人,"¥1,516.11","¥21,370","¥49,220",33人,"¥1,492","¥27,590","¥21,510",¥220,,,"¥21,730",,,,
2023/7/6,木,晴,23℃,33℃,"¥24,300",17人,"¥1,429.41","¥15,540","¥86,020",43人,"¥2,000.47","¥59,900","¥110,320",60人,"¥1,839","¥75,440",¥665,¥400,,,"¥1,065",,,,
2023/7/7,金,雨/曇り,26℃,31℃,"¥51,110",11人,"¥4,646.36","¥42,180","¥75,860",44人,"¥1,724.09","¥39,970","¥126,970",55人,"¥2,309","¥82,150",,,,,¥0,,,,
2023/7/8,土,曇り,27℃,31℃,"¥27,800",20人,"¥1,390.00","¥15,200","¥97,260",62人,"¥1,568.71","¥57,140","¥125,060",82人,"¥1,525","¥72,340",,,,,¥0,,,,
2023/7/9,日,雨/曇り,25℃,29℃,"¥54,320",38人,"¥1,429.47","¥28,880","¥47,970",29人,"¥1,654.14","¥37,330","¥102,290",67人,"¥1,527","¥66,210","¥5,886",,,,"¥5,886",,,,
2023/7/10,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
