日付,曜日,天気,最低気温,最高気温,売上(昼),客数(昼),客単価(昼),クレジット(昼),売上(夜),客数(夜),客単価(夜),クレジット(夜),1日総売上,1日総客数,1日客単価,1日クレジット,仕入れ食材計,仕入れ消耗品計,仕入れ交通費計,仕入れその他計,仕入れ合計,,,,
2023/3/1,水,晴,4℃,14℃,"¥45,540",34人,"¥1,339.41","¥18,500","¥80,300",40人,"¥2,007.50","¥46,610","¥125,840",74人,"¥1,701","¥65,110",,,,,¥0,,,,
2023/3/2,木,晴,3℃,14℃,"¥38,000",28人,"¥1,357.14","¥18,640","¥53,400",33人,"¥1,618.18","¥23,610","¥91,400",61人,"¥1,498","¥42,250",,,,,"¥4,963",,,,
2023/3/3,金,曇り,,,"¥27,760",18人,"¥1,542.22","¥14,510","¥94,070",50人,"¥1,881.40","¥25,610","¥121,830",68人,"¥1,792","¥40,120",,,,,¥0,,,,
2023/3/4,土,曇り,3℃,15℃,"¥45,690",30人,"¥1,523.00","¥20,220","¥132,270",51人,"¥2,593.53","¥32,860","¥132,320",81人,"¥1,634","¥53,080",¥210,,,,¥210,,,,
2023/3/5,日,晴,5℃,14℃,"¥86,900",67人,"¥1,297.01","¥33,970","¥58,690",37人,"¥1,586.22","¥25,210","¥145,590",104人,"¥1,400","¥59,180",,,,,¥0,,,,
2023/3/6,月,,,,,,#DIV/0!,,,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/3/7,火,,,,,,#DIV/0!,,,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/3/8,水,晴/曇り,5℃,19℃,"¥38,190",27人,"¥1,414.44","¥20,090","¥42,980",30人,"¥1,432.67","¥17,890","¥81,170",57人,"¥1,424","¥37,980",,,,,¥0,,,,
2023/3/9,木,曇り,7℃,21℃,"¥22,190",16人,"¥1,386.88","¥7,600","¥108,210",53人,"¥2,041.70","¥50,100","¥130,400",69人,"¥1,890","¥57,700",,¥770,,,¥770,,,,
2023/3/10,金,晴,10℃,20℃,"¥28,210",23人,"¥1,226.52","¥10,210","¥143,070",65人,"¥2,201.08","¥66,830","¥171,280",88人,"¥1,946","¥77,040",,,,,¥0,,,,
2023/3/11,土,晴,10℃,21℃,"¥51,900",35人,"¥1,482.86","¥30,100","¥120,580",53人,"¥2,275.09","¥73,910","¥172,480",88人,"¥1,960","¥104,010",,,,,¥0,,,,
2023/3/12,日,曇り,10℃,22℃,"¥74,860",51人,"¥1,467.84","¥28,880","¥87,840",29人,"¥3,028.97","¥47,150","¥162,700",80人,"¥2,034","¥76,030","¥3,469",¥712,,,"¥4,181",,,,
2023/3/13,月,,,,,,#DIV/0!,,,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/3/14,火,,,,,,#DIV/0!,,,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,¥0,,,,
2023/3/15,水,晴,4℃,19℃,"¥41,379",31人,"¥1,334.81","¥21,300","¥91,071",64人,"¥1,422.98","¥39,300","¥132,450",95人,"¥1,394","¥60,600",,¥550,,,¥550,,,,
