日付,曜日,天気,最低気温,最高気温,売上(昼),客数(昼),客単価(昼),クレジット(昼),売上(夜),客数(夜),客単価(夜),クレジット(夜),1日総売上,1日総客数,1日客単価,1日クレジット,食材（現金）,その他（現金）計,食材（カード）,食材（請求書）,通販食材（納品書）,飲料（現金/請求書）,仕入れ合計,,,,,,,
2025/3/1,土,曇り,5℃,18℃,"¥68,700",45人,"¥1,526.67","¥37,100","¥125,180",69人,"¥1,814.20","¥73,570","¥193,880",114人,"¥1,701","¥110,670","¥5,214",,"¥11,986",,,,"¥17,200",,,,,,,
2025/3/2,日,雨,5℃,15℃,"¥57,300",40人,"¥1,432.50","¥46,220","¥110,100",53人,"¥2,077.36","¥68,770","¥167,400",93人,"¥1,800","¥114,990",¥689,¥330,,,,,"¥1,019",,,,,,,
2025/3/3,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,,,¥0,,,,,,,
2025/3/4,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,"¥30,803",,,,"¥30,803",,,,,,,
2025/3/5,水,雨/曇り,8℃,11℃,"¥45,800",29人,"¥1,579.31","¥25,630","¥63,970",23人,"¥2,781.30","¥47,530","¥109,770",52人,"¥2,111","¥73,160","¥14,600","¥32,864",,,,,"¥47,464",,,,,,,
2025/3/6,木,晴/曇り,4℃,11℃,"¥67,330",44人,"¥1,530.23","¥24,870","¥89,040",47人,"¥1,894.47","¥56,140","¥156,370",91人,"¥1,718","¥81,010","¥2,740",,"¥1,989",,,,"¥4,729",,,,,,,
2025/3/7,金,晴,3℃,8℃,"¥27,470",19人,"¥1,445.79","¥22,160","¥143,470",68人,"¥2,109.85","¥76,600","¥170,940",87人,"¥1,965","¥98,760",,"¥2,490","¥5,629",,,,"¥8,119",,,,,,,
2025/3/8,土,晴,2℃,9℃,"¥90,750",55人,"¥1,650.00","¥54,170","¥124,480",41人,"¥3,036.10","¥61,930","¥215,230",96人,"¥2,242","¥116,100",¥318,,"¥7,113",,,,"¥7,431",,,,,,,
2025/3/9,日,晴,1℃,13℃,"¥52,770",34人,"¥1,552.06","¥49,020","¥76,440",44人,"¥1,737.27","¥38,190","¥129,210",78人,"¥1,657","¥87,210",,,,,,,¥0,,,,,,,
2025/3/10,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,"¥4,392",,,#DIV/0!,"¥4,392",,,,,,,¥0,,,,,,,
2025/3/11,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,"¥8,728",,,,"¥8,728",,,,,,,
2025/3/12,水,晴,7℃,17℃,"¥23,890",12人,"¥1,990.83","¥7,290","¥80,550",41人,"¥1,964.63","¥62,190","¥104,440",53人,"¥1,971","¥69,480",,,"¥4,701",,,,"¥4,701",,,,,,,
2025/3/13,木,曇り,5℃,17℃,"¥44,140",29人,"¥1,919.13","¥31,170","¥76,420",35人,"¥2,183.43","¥37,960","¥120,560",64人,"¥1,884","¥69,130",,,"¥2,239",,,,"¥2,239",,,,,,,
2025/3/14,金,晴,6℃,18℃,"¥41,390",23人,"¥1,799.57","¥22,990","¥146,890",73人,"¥2,012.19","¥91,590","¥188,280",96人,"¥1,961","¥114,580",,,"¥4,931",,,,"¥4,931",,,,,,,
2025/3/15,土,晴,6℃,9℃,"¥56,720",37人,"¥1,532.97","¥18,120","¥114,200",47人,"¥2,429.79","¥105,390","¥170,920",84人,"¥2,035","¥123,510","¥10,789",,"¥7,611",,,,"¥18,400",,,,,,,
2025/3/16,日,雨,7℃,12℃,"¥87,910",52人,"¥1,690.58","¥70,160","¥178,740",51人,"¥3,504.71",¥0,"¥266,650",103人,"¥2,589","¥70,160","¥17,480",,,,,,"¥17,480",,,,,,,
2025/3/17,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,,,¥0,,,,,,,
2025/3/18,火,雨/曇り,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,,,¥0,,,,,,,
2025/3/19,水,雨/曇り,2℃,8℃,"¥47,290",33人,"¥1,433.03","¥25,280","¥159,950",66人,"¥2,423.48","¥107,780","¥207,240",99人,"¥2,093","¥133,060","¥6,543","¥5,444",,,,,"¥11,987",,,,,,,
2025/3/20,木,晴,-1℃,11℃,"¥92,280",53人,"¥1,741.13","¥68,050","¥99,610",61人,"¥1,632.95","¥52,350","¥191,890",114人,"¥1,683","¥120,400","¥4,974","¥3,096",,,,,"¥8,070",,,,,,,
2025/3/21,金,晴,6℃,16℃,"¥53,710",35人,"¥1,534.57","¥39,000","¥81,530",23人,"¥3,544.78","¥44,130","¥135,240",58人,"¥2,332","¥83,130","¥13,620",,"¥27,969",,,,"¥41,589",,,,,,,
2025/3/22,土,晴,9℃,20℃,"¥72,190",50人,"¥1,443.80","¥32,140","¥140,160",63人,"¥2,224.76","¥105,030","¥212,350",113人,"¥1,879","¥137,170",,,,,,,¥0,,,,,,,
2025/3/23,日,晴,9℃,21℃,"¥73,070",47人,"¥1,554.68","¥59,060","¥109,770",53人,"¥2,071.13","¥54,390","¥182,840",100人,"¥1,828","¥113,450","¥7,914",,,,,,"¥7,914",,,,,,,
2025/3/24,月,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,,,,,¥0,,,,,,,
2025/3/25,火,,,,,,#DIV/0!,,¥0,0人,#DIV/0!,¥0,,,#DIV/0!,,,,"¥19,544",,,,"¥19,544",,,,,,,
